city_town,ward,precinct,receiver,votes,office,district
Abington,-,1,Biden/ Harris,1037,President,
Abington,-,1,Trump/ Pence,764,President,
Abington,-,1,Jorgensen/ Cohen,29,President,
Abington,-,1,Hawkins/ Walker,6,President,
Abington,-,1,All Others,8,President,
Abington,-,1,No Preference,0,President,
Abington,-,1,Blanks,16,President,
Abington,-,1,Total Votes Cast,1860,President,
Abington,-,2,Biden/ Harris,960,President,
Abington,-,2,Trump/ Pence,838,President,
Abington,-,2,Jorgensen/ Cohen,23,President,
Abington,-,2,Hawkins/ Walker,16,President,
Abington,-,2,All Others,4,President,
Abington,-,2,No Preference,0,President,
Abington,-,2,Blanks,9,President,
Abington,-,2,Total Votes Cast,1850,President,
Abington,-,3,Biden/ Harris,954,President,
Abington,-,3,Trump/ Pence,848,President,
Abington,-,3,Jorgensen/ Cohen,31,President,
Abington,-,3,Hawkins/ Walker,8,President,
Abington,-,3,All Others,3,President,
Abington,-,3,No Preference,0,President,
Abington,-,3,Blanks,9,President,
Abington,-,3,Total Votes Cast,1853,President,
Abington,-,4,Biden/ Harris,1117,President,
Abington,-,4,Trump/ Pence,904,President,
Abington,-,4,Jorgensen/ Cohen,28,President,
Abington,-,4,Hawkins/ Walker,7,President,
Abington,-,4,All Others,6,President,
Abington,-,4,No Preference,0,President,
Abington,-,4,Blanks,26,President,
Abington,-,4,Total Votes Cast,2088,President,
Abington,-,5,Biden/ Harris,1141,President,
Abington,-,5,Trump/ Pence,882,President,
Abington,-,5,Jorgensen/ Cohen,35,President,
Abington,-,5,Hawkins/ Walker,8,President,
Abington,-,5,All Others,3,President,
Abington,-,5,No Preference,0,President,
Abington,-,5,Blanks,15,President,
Abington,-,5,Total Votes Cast,2084,President,
Acton,-,1,Biden/ Harris,1761,President,
Acton,-,1,Trump/ Pence,447,President,
Acton,-,1,Jorgensen/ Cohen,24,President,
Acton,-,1,Hawkins/ Walker,11,President,
Acton,-,1,All Others,8,President,
Acton,-,1,No Preference,0,President,
Acton,-,1,Blanks,16,President,
Acton,-,1,Total Votes Cast,2267,President,
Acton,-,2,Biden/ Harris,1912,President,
Acton,-,2,Trump/ Pence,441,President,
Acton,-,2,Jorgensen/ Cohen,30,President,
Acton,-,2,Hawkins/ Walker,13,President,
Acton,-,2,All Others,12,President,
Acton,-,2,No Preference,0,President,
Acton,-,2,Blanks,21,President,
Acton,-,2,Total Votes Cast,2429,President,
Acton,-,3,Biden/ Harris,1834,President,
Acton,-,3,Trump/ Pence,388,President,
Acton,-,3,Jorgensen/ Cohen,34,President,
Acton,-,3,Hawkins/ Walker,15,President,
Acton,-,3,All Others,12,President,
Acton,-,3,No Preference,0,President,
Acton,-,3,Blanks,18,President,
Acton,-,3,Total Votes Cast,2301,President,
Acton,-,4,Biden/ Harris,2051,President,
Acton,-,4,Trump/ Pence,416,President,
Acton,-,4,Jorgensen/ Cohen,40,President,
Acton,-,4,Hawkins/ Walker,9,President,
Acton,-,4,All Others,16,President,
Acton,-,4,No Preference,0,President,
Acton,-,4,Blanks,12,President,
Acton,-,4,Total Votes Cast,2544,President,
Acton,-,5,Biden/ Harris,1897,President,
Acton,-,5,Trump/ Pence,396,President,
Acton,-,5,Jorgensen/ Cohen,44,President,
Acton,-,5,Hawkins/ Walker,15,President,
Acton,-,5,All Others,22,President,
Acton,-,5,No Preference,0,President,
Acton,-,5,Blanks,14,President,
Acton,-,5,Total Votes Cast,2388,President,
Acton,-,6,Biden/ Harris,1650,President,
Acton,-,6,Trump/ Pence,383,President,
Acton,-,6,Jorgensen/ Cohen,21,President,
Acton,-,6,Hawkins/ Walker,11,President,
Acton,-,6,All Others,14,President,
Acton,-,6,No Preference,0,President,
Acton,-,6,Blanks,10,President,
Acton,-,6,Total Votes Cast,2089,President,
