city_town,ward,precinct,Maura Healey,Geoff Diehl,Kevin Reed,All Others,Blanks,Total Votes Cast
Bridgewater,-,9,674,685,23,0,11,1393
Brimfield,,,734,967,35,0,6,1742
Brockton,1,A,450,108,12,0,10,580
Brockton,1,B,673,240,13,0,16,942
Brockton,1,C,506,231,12,0,6,755
Brockton,1,D,772,429,14,2,19,1236
Brockton,2,A,312,51,8,0,8,379
Brockton,2,B,385,76,6,1,15,483
Brockton,2,C,254,52,5,0,12,323
Brockton,2,D,461,175,8,2,13,659
Brockton,3,A,503,143,9,0,12,667
Brockton,3,B,406,86,4,0,9,505
Brockton,3,C,695,370,18,0,20,1103
Brockton,3,D,703,379,14,2,13,1111
Brockton,4,A,244,49,3,0,3,299
Brockton,4,B,488,157,15,0,8,668
Brockton,4,C,583,289,19,0,7,898
Brockton,4,D,592,268,11,0,17,888
Brockton,5,A,342,82,11,0,7,442
Brockton,5,B,625,243,13,0,14,895
Brockton,5,C,443,137,8,0,12,600
Brockton,5,D,663,316,24,0,13,1016
Brockton,6,A,453,184,8,1,8,654
Brockton,6,B,627,342,12,0,11,992
Brockton,6,C,565,228,7,0,12,812
Brockton,6,D,727,431,24,0,8,1190
Brockton,7,A,401,85,8,0,9,503
Brockton,7,B,550,165,6,0,28,749
Brockton,7,C,568,131,14,1,13,727
Brockton,7,D,566,229,16,0,10,821
Brookfield,,,684,744,44,0,9,1481
Brookline,-,1,971,135,10,0,14,1130
Brookline,-,2,579,99,19,1,4,702
Brookline,-,3,1121,126,18,5,4,1274
Brookline,-,4,820,150,12,2,8,992
Brookline,-,5,557,80,7,3,3,650
Brookline,-,5A,598,69,7,2,12,688
Brookline,-,6,1300,112,12,1,17,1442
Brookline,-,7,1047,130,15,2,8,1202
Brookline,-,8,1165,86,12,0,10,1273
Brookline,-,9,1183,133,13,0,15,1344
Brookline,-,10,1179,113,17,5,11,1325
Brookline,-,11,1237,119,14,5,12,1387
Brookline,-,12,1271,180,12,5,20,1488
Brookline,-,13,1019,147,8,3,17,1194
Brookline,-,13A,172,34,2,1,4,213
Brookline,-,14,957,210,30,4,22,1223
Brookline,-,14A,268,49,2,3,4,326
Brookline,-,15,1164,323,15,4,25,1531
Brookline,-,16,1096,249,8,0,16,1369
Brookline,-,17,995,134,8,1,12,1150
Buckland,,,676,222,13,0,7,918
Burlington,-,1,1036,752,19,2,16,1825
Burlington,-,2,644,380,12,4,7,1047
Burlington,-,3,912,610,29,3,15,1569
Burlington,-,4,728,501,15,1,13,1258
Burlington,-,5,1072,756,35,2,28,1893
Burlington,-,6,989,727,24,3,26,1769
Burlington,-,7,952,490,24,1,17,1484
Cambridge,1,1,549,55,14,1,9,628
Cambridge,1,2,257,39,4,1,1,302
Cambridge,1,2A,22,4,0,0,1,27
Cambridge,1,3,932,132,17,1,8,1090
Cambridge,2,1,1000,133,11,3,11,1158
Cambridge,2,2,904,144,20,2,17,1087
Cambridge,2,3,821,95,14,2,12,944
Cambridge,2,3A,78,17,1,0,1,97
Cambridge,3,1,740,79,10,1,12,842
Cambridge,3,2,1021,85,14,1,5,1126
Cambridge,3,3,670,39,12,1,5,727
Cambridge,3,3A,381,29,4,0,3,417
Cambridge,4,1,1313,97,11,1,14,1436
Cambridge,4,2,1051,59,18,1,7,1136
Cambridge,4,2A,172,12,0,0,3,187
Cambridge,4,3,1191,65,12,1,15,1284
Cambridge,5,1,1082,79,10,2,17,1190
Cambridge,5,2,153,8,1,0,2,164
Cambridge,5,3,1073,70,16,1,11,1171
Cambridge,6,1,1028,51,8,1,6,1094
Cambridge,6,1A,323,19,3,0,3,348
Cambridge,6,2,693,41,13,1,10,758
Cambridge,6,3,1368,110,15,3,14,1510
Cambridge,7,1,1222,69,11,2,12,1316
Cambridge,7,2,802,72,13,0,8,895
Cambridge,7,2A,32,1,1,0,0,34
Cambridge,7,3,303,27,5,0,3,338
Cambridge,8,1,1104,49,16,4,9,1182
Cambridge,8,2,1128,64,11,2,4,1209
Cambridge,8,3,275,23,2,0,3,303
Cambridge,9,1,1828,130,15,3,18,1994
Cambridge,9,2,1316,142,12,5,12,1487
Cambridge,9,3,1305,135,22,6,11,1479
Cambridge,10,1,958,69,11,4,9,1051
Cambridge,10,1A,613,48,5,1,2,669
Cambridge,10,2,1627,83,6,0,17,1733
Cambridge,10,3,1098,97,18,2,10,1225
Cambridge,11,1,390,34,6,0,6,436
Cambridge,11,1A,448,59,9,0,5,521
Cambridge,11,2,713,83,13,2,10,821
Cambridge,11,3,1188,118,18,2,11,1337
Cambridge,11,3A,140,3,1,0,0,144
Canton,-,1,810,467,20,4,16,1317
Canton,-,2,1133,621,23,0,21,1798
Canton,-,3,671,396,11,0,13,1091
Canton,-,4,910,652,14,2,14,1592
Canton,-,5,996,632,21,6,11,1666
Canton,-,6,879,480,20,0,11,1390
Canton,-,7,946,549,22,2,17,1536
Carlisle,,,2132,669,38,5,35,2879
Carver,-,1,723,901,25,2,12,1663
Carver,-,2,679,868,23,2,15,1587
Carver,-,3,880,898,27,1,12,1818
Charlemont,,,357,163,10,0,2,532
Charlton,-,1,657,720,20,0,13,1410
Charlton,-,2,592,880,25,2,10,1509
Charlton,-,3,607,752,24,2,8,1393
Charlton,-,4,611,756,30,0,9,1406
Charlton,-,4A,11,27,0,0,0,38
Chatham,-,1,1212,781,24,1,11,2029
Chatham,-,2,1167,821,35,3,19,2045
Chelmsford,-,1,725,522,17,2,8,1274
Chelmsford,-,2,885,510,24,1,10,1430
Chelmsford,-,3A,394,218,11,1,11,635
Chelmsford,-,3B,441,237,12,0,7,697
Chelmsford,-,4,1058,608,26,2,18,1712
Chelmsford,-,5A,824,512,23,4,16,1379
Chelmsford,-,5B,249,146,9,0,2,406
Chelmsford,-,6,918,524,30,4,17,1493
Chelmsford,-,7,810,491,21,0,14,1336
Chelmsford,-,8,955,475,35,1,8,1474
Chelmsford,-,9,1002,602,26,2,17,1649
Chelmsford,-,10,739,487,16,2,8,1252
Chelmsford,-,11,1055,588,29,4,13,1689
Chelsea,1,1,186,71,10,0,18,285
Chelsea,1,2,121,28,4,0,12,165
Chelsea,1,3,173,46,2,0,9,230
Chelsea,1,4,157,25,4,0,7,193
Chelsea,2,1,553,201,18,0,20,792
Chelsea,2,2,233,38,4,0,13,288
Chelsea,2,3,115,37,1,0,18,171
Chelsea,2,4,256,41,8,0,11,316
Chelsea,3,1,235,63,7,0,5,310
Chelsea,3,2,290,73,5,0,9,377
Chelsea,3,3,208,74,9,0,5,296
Chelsea,3,4,208,61,7,0,11,287
Chelsea,4,1,281,68,15,0,13,377
