election_id,office,district,candidate_id,name,city_town,ward,precinct,votes
154338,Governor,,77961,Maura Healey,Auburn,-,4,776
154338,Governor,,77961,Maura Healey,Auburn,-,5,709
154338,Governor,,77961,Maura Healey,Avon,,,895
154338,Governor,,77961,Maura Healey,Ayer,-,1,658
154338,Governor,,77961,Maura Healey,Ayer,-,2,764
154338,Governor,,77961,Maura Healey,Ayer,-,3,572
154338,Governor,,77961,Maura Healey,Barnstable,-,1,1281
154338,Governor,,77961,Maura Healey,Barnstable,-,2,1062
154338,Governor,,77961,Maura Healey,Barnstable,-,3,777
154338,Governor,,77961,Maura Healey,Barnstable,-,4,1059
154338,Governor,,77961,Maura Healey,Barnstable,-,5,1082
154338,Governor,,77961,Maura Healey,Barnstable,-,6,987
154338,Governor,,77961,Maura Healey,Barnstable,-,7,1277
154338,Governor,,77961,Maura Healey,Barnstable,-,8,596
154338,Governor,,77961,Maura Healey,Barnstable,-,9,331
154338,Governor,,77961,Maura Healey,Barnstable,-,10,824
154338,Governor,,77961,Maura Healey,Barnstable,-,11,1042
154338,Governor,,77961,Maura Healey,Barnstable,-,12,1029
154338,Governor,,77961,Maura Healey,Barnstable,-,13,642
154338,Governor,,77961,Maura Healey,Barre,-,1,565
154338,Governor,,77961,Maura Healey,Barre,-,2,444
154338,Governor,,77961,Maura Healey,Becket,,,503
154338,Governor,,77961,Maura Healey,Bedford,-,1,1294
154338,Governor,,77961,Maura Healey,Bedford,-,2,699
154338,Governor,,77961,Maura Healey,Bedford,-,2A,224
154338,Governor,,77961,Maura Healey,Bedford,-,3,1270
154338,Governor,,77961,Maura Healey,Bedford,-,4,1174
154338,Governor,,77961,Maura Healey,Belchertown,-,A,1074
154338,Governor,,77961,Maura Healey,Belchertown,-,B,900
154338,Governor,,77961,Maura Healey,Belchertown,-,C,980
154338,Governor,,77961,Maura Healey,Belchertown,-,D,1152
154338,Governor,,77961,Maura Healey,Bellingham,-,1,643
154338,Governor,,77961,Maura Healey,Bellingham,-,2,796
154338,Governor,,77961,Maura Healey,Bellingham,-,3,813
154338,Governor,,77961,Maura Healey,Bellingham,-,4,642
154338,Governor,,77961,Maura Healey,Bellingham,-,5,553
