election_id,office,district,candidate_id,name,city_town,ward,precinct,votes
165353,U.S. House,5,,total_votes,Lexington,-,8,2019
165353,U.S. House,5,,total_votes,Lexington,-,9,2200
165353,U.S. House,5,,total_votes,Lincoln,-,1,2464
165353,U.S. House,5,,total_votes,Lincoln,-,2,1583
165353,U.S. House,5,,total_votes,Malden,1,1,772
165353,U.S. House,5,,total_votes,Malden,1,2,891
165353,U.S. House,5,,total_votes,Malden,1,3,929
165353,U.S. House,5,,total_votes,Malden,2,1,747
165353,U.S. House,5,,total_votes,Malden,2,2,864
165353,U.S. House,5,,total_votes,Malden,2,3,1018
165353,U.S. House,5,,total_votes,Malden,3,1,589
165353,U.S. House,5,,total_votes,Malden,3,1A,716
165353,U.S. House,5,,total_votes,Malden,3,2,977
165353,U.S. House,5,,total_votes,Malden,3,3,1139
165353,U.S. House,5,,total_votes,Malden,4,1,894
165353,U.S. House,5,,total_votes,Malden,4,2,604
165353,U.S. House,5,,total_votes,Malden,4,3,850
165353,U.S. House,5,,total_votes,Malden,5,1,955
165353,U.S. House,5,,total_votes,Malden,5,2,1352
165353,U.S. House,5,,total_votes,Malden,5,3,497
165353,U.S. House,5,,total_votes,Malden,5,3A,551
165353,U.S. House,5,,total_votes,Malden,6,1,1283
165353,U.S. House,5,,total_votes,Malden,6,2,943
165353,U.S. House,5,,total_votes,Malden,6,3,1012
165353,U.S. House,5,,total_votes,Malden,7,1,779
165353,U.S. House,5,,total_votes,Malden,7,2,852
165353,U.S. House,5,,total_votes,Malden,7,3,498
165353,U.S. House,5,,total_votes,Malden,7,3A,362
165353,U.S. House,5,,total_votes,Malden,8,1,1099
165353,U.S. House,5,,total_votes,Malden,8,2,960
165353,U.S. House,5,,total_votes,Malden,8,3,742
165353,U.S. House,5,,total_votes,Maynard,-,1,1724
165353,U.S. House,5,,total_votes,Maynard,-,2,1494
165353,U.S. House,5,,total_votes,Maynard,-,3,2063
165353,U.S. House,5,,total_votes,Maynard,-,4,1481
165353,U.S. House,5,,total_votes,Medford,1,1,1969
165353,U.S. House,5,,total_votes,Medford,1,2,2010
165353,U.S. House,5,,total_votes,Medford,2,1,1831
165353,U.S. House,5,,total_votes,Medford,2,2,2467
165353,U.S. House,5,,total_votes,Medford,3,1,2268
165353,U.S. House,5,,total_votes,Medford,3,2,2425
165353,U.S. House,5,,total_votes,Medford,4,1,928
165353,U.S. House,5,,total_votes,Medford,4,2,1988
165353,U.S. House,5,,total_votes,Medford,5,1,1777
165353,U.S. House,5,,total_votes,Medford,5,2,1849
165353,U.S. House,5,,total_votes,Medford,6,1,2181
165353,U.S. House,5,,total_votes,Medford,6,2,1990
165353,U.S. House,5,,total_votes,Medford,6,2A,153
165353,U.S. House,5,,total_votes,Medford,7,1,1190
165353,U.S. House,5,,total_votes,Medford,7,2,1423
165353,U.S. House,5,,total_votes,Medford,7,2A,50
165353,U.S. House,5,,total_votes,Medford,8,1,1956
165353,U.S. House,5,,total_votes,Medford,8,2,1752
165353,U.S. House,5,,total_votes,Melrose,1,1,1349
165353,U.S. House,5,,total_votes,Melrose,1,2,1166
165353,U.S. House,5,,total_votes,Melrose,2,1,1342
165353,U.S. House,5,,total_votes,Melrose,2,2,1242
165353,U.S. House,5,,total_votes,Melrose,3,1,1173
