city_town,ward,precinct,Clinton/ Kaine,Trump/ Pence,Johnson/ Weld,Stein/ Baraka,Mcmullin/ Johnson,Kotlikoff/ Leamer,Feegbeh/ O'Brien,Moorehead/ Lilly,Schoenke/ Mitchel,All Others,No Preference,Blanks,Total Votes Cast
Worcester,5,5,913,609,62,19,0,0,0,0,0,25,0,24,1652
Worcester,6,1,628,120,20,19,0,0,0,0,0,14,0,12,813
Worcester,6,2,825,229,28,20,0,0,0,0,0,16,0,17,1135
Worcester,6,3,773,285,48,33,0,0,0,0,0,19,0,17,1175
Worcester,6,4,366,165,24,14,0,0,0,0,0,10,0,11,590
Worcester,6,5,874,450,44,22,0,0,0,0,0,13,0,19,1422
Worcester,7,1,1055,387,67,25,0,0,0,0,0,17,0,19,1570
Worcester,7,2,752,272,43,27,0,0,0,0,0,19,0,17,1130
Worcester,7,3,1011,457,47,22,0,0,0,0,0,21,0,17,1575
Worcester,7,4,893,460,56,26,0,0,0,0,0,24,0,10,1469
Worcester,7,5,890,557,78,28,0,0,0,0,0,22,0,30,1605
Worcester,8,1,571,156,16,18,0,0,0,0,0,9,0,10,780
Worcester,8,2,627,115,10,14,0,0,0,0,0,7,0,6,779
Worcester,8,3,575,63,22,41,0,0,0,0,0,9,0,8,718
Worcester,8,4,796,169,22,28,0,0,0,0,0,12,0,19,1046
Worcester,8,5,603,226,36,14,0,0,0,0,0,16,0,10,905
Worcester,9,1,1038,365,66,42,0,0,0,0,0,37,0,20,1568
Worcester,9,2,1259,466,66,33,0,0,0,0,0,40,0,23,1887
Worcester,9,3,808,407,55,37,0,0,0,0,0,23,0,17,1347
Worcester,9,4,1155,603,76,27,0,0,0,0,0,19,0,39,1919
Worcester,9,5,1149,600,72,26,0,0,0,0,0,41,0,28,1916
Worcester,10,1,651,180,21,22,0,0,0,0,0,9,0,13,896
Worcester,10,2,676,124,27,21,0,0,0,0,0,15,0,12,875
Worcester,10,3,777,89,20,17,0,0,0,0,0,6,0,17,926
Worcester,10,4,612,101,11,19,0,0,0,0,0,6,0,4,753
Worcester,10,5,693,113,14,8,0,0,0,0,0,14,0,9,851
Worthington,-,1,430,229,41,46,0,0,0,0,0,12,0,5,763
Wrentham,-,1,950,1011,139,23,9,0,0,0,0,58,0,33,2223
Wrentham,-,2,1016,1062,131,24,8,0,0,0,0,80,0,23,2344
Wrentham,-,3,1086,920,120,32,7,0,0,0,0,43,0,29,2237
Yarmouth,-,1,1204,854,80,33,0,0,0,0,0,18,0,51,2240
Yarmouth,-,2,1155,912,97,24,0,0,0,0,0,25,0,45,2258
Yarmouth,-,3,904,663,63,18,0,0,0,0,0,17,0,14,1679
Yarmouth,-,4,1002,860,79,31,0,0,0,0,0,39,0,27,2038
Yarmouth,-,5,881,797,61,26,0,0,0,0,0,32,0,8,1805
Yarmouth,-,6,907,753,65,30,0,0,0,0,0,24,0,25,1804
Yarmouth,-,7,1251,1009,92,28,0,0,0,0,0,22,0,61,2463
