city_town,ward,precinct,receiver,votes,office,district
Abington,-,1,"Alice R, Harris",1019,President,
Abington,-,1,Donald J. Trump,905,President,
Abington,-,1,Jill E. Stein,15,President,
Abington,-,1,Shiva Ayyadurai,19,President,
Abington,-,1,Chase Russell Oliver,12,President,
Abington,-,1,De La Cruz,5,President,
Abington,-,1,Sonski,0,President,
Abington,-,1,David E. West,0,President,
Abington,-,1,All Others,6,President,
Abington,-,1,No Preference,0,President,
Abington,-,1,Blanks,20,President,
Abington,-,1,Total Votes Cast,2001,President,
Abington,-,2,"Alice R, Harris",833,President,
Abington,-,2,Donald J. Trump,882,President,
Abington,-,2,Jill E. Stein,11,President,
Abington,-,2,Shiva Ayyadurai,5,President,
Abington,-,2,Chase Russell Oliver,8,President,
Abington,-,2,De La Cruz,3,President,
Abington,-,2,Sonski,0,President,
Abington,-,2,David E. West,0,President,
Abington,-,2,All Others,11,President,
Abington,-,2,No Preference,0,President,
Abington,-,2,Blanks,21,President,
Abington,-,2,Total Votes Cast,1774,President,
Abington,-,3,"Kamala Harris",872,President,
Abington,-,3,Donald J. Trump,985,President,
Abington,-,3,Jill E. Stein,7,President,
Abington,-,3,Shiva Ayyadurai,13,President,
Abington,-,3,Chase Russell Oliver,8,President,
Abington,-,3,De La Cruz,3,President,
Abington,-,3,Sonski,1,President,
Abington,-,3,David E. West,0,President,
Abington,-,3,All Others,7,President,
Abington,-,3,No Preference,0,President,
Abington,-,3,Blanks,13,President,
Abington,-,3,Total Votes Cast,1909,President,
Abington,-,4,"Kamala Harris",978,President,
Abington,-,4,Donald J. Trump,954,President,
Abington,-,4,Jill E. Stein,6,President,
Abington,-,4,Shiva Ayyadurai,11,President,
Abington,-,4,Chase Russell Oliver,13,President,
Abington,-,4,De La Cruz,5,President,
Abington,-,4,Sonski,0,President,
Abington,-,4,David E. West,0,President,
Abington,-,4,All Others,5,President,
Abington,-,4,No Preference,0,President,
Abington,-,4,Blanks,30,President,
Abington,-,4,Total Votes Cast,2002,President,
Abington,-,5,"Kamala Harris",1012,President,
Abington,-,5,Donald J. Trump,913,President,
Abington,-,5,Jill E. Stein,8,President,
Abington,-,5,Shiva Ayyadurai,13,President,
Abington,-,5,Chase Russell Oliver,11,President,
Abington,-,5,De La Cruz,6,President,
Abington,-,5,Sonski,0,President,
Abington,-,5,David E. West,0,President,
Abington,-,5,All Others,5,President,
Abington,-,5,No Preference,0,President,
Abington,-,5,Blanks,21,President,
Abington,-,5,Total Votes Cast,1989,President,
Acton,-,1,"Kamala Harris",1051,President,
Acton,-,1,Donald J. Trump,359,President,
Acton,-,1,Jill E. Stein,14,President,
Acton,-,1,Shiva Ayyadurai,8,President,
Acton,-,1,Chase Russell Oliver,6,President,
Acton,-,1,De La Cruz,2,President,
Acton,-,1,Sonski,0,President,
Acton,-,1,David E. West,0,President,
Acton,-,1,All Others,16,President,
Acton,-,1,No Preference,0,President,
Acton,-,1,Blanks,17,President,
Acton,-,1,Total Votes Cast,1473,President,
Acton,-,2,"Kamala Harris",1504,President,
Acton,-,2,Donald J. Trump,397,President,
Acton,-,2,Jill E. Stein,20,President,
Acton,-,2,Shiva Ayyadurai,10,President,
Acton,-,2,Chase Russell Oliver,16,President,
Acton,-,2,De La Cruz,9,President,
Acton,-,2,Sonski,0,President,
Acton,-,2,David E. West,0,President,
Acton,-,2,All Others,18,President,
Acton,-,2,No Preference,0,President,
Acton,-,2,Blanks,30,President,
Acton,-,2,Total Votes Cast,2004,President,
Acton,-,3,"Kamala Harris",1744,President,
Acton,-,3,Donald J. Trump,388,President,
Acton,-,3,Jill E. Stein,24,President,
Acton,-,3,Shiva Ayyadurai,7,President,
Acton,-,3,Chase Russell Oliver,21,President,
Acton,-,3,De La Cruz,4,President,
Acton,-,3,Sonski,0,President,
Acton,-,3,David E. West,0,President,
Acton,-,3,All Others,26,President,
Acton,-,3,No Preference,0,President,
Acton,-,3,Blanks,27,President,
Acton,-,3,Total Votes Cast,2241,President,
Acton,-,4,"Kamala Harris",1583,President,
Acton,-,4,Donald J. Trump,377,President,
Acton,-,4,Jill E. Stein,30,President,
Acton,-,4,Shiva Ayyadurai,10,President,
Acton,-,4,Chase Russell Oliver,13,President,
Acton,-,4,De La Cruz,5,President,
Acton,-,4,Sonski,0,President,
Acton,-,4,David E. West,0,President,
Acton,-,4,All Others,16,President,
Acton,-,4,No Preference,0,President,
Acton,-,4,Blanks,23,President,
Acton,-,4,Total Votes Cast,2057,President,
Acton,-,5,"Kamala Harris",1561,President,
Acton,-,5,Donald J. Trump,354,President,
Acton,-,5,Jill E. Stein,15,President,
Acton,-,5,Shiva Ayyadurai,13,President,
Acton,-,5,Chase Russell Oliver,16,President,
Acton,-,5,De La Cruz,5,President,
Acton,-,5,Sonski,0,President,
Acton,-,5,David E. West,0,President,
Acton,-,5,All Others,24,President,
Acton,-,5,No Preference,0,President,
Acton,-,5,Blanks,12,President,
Acton,-,5,Total Votes Cast,2000,President,
Acton,-,6,"Kamala Harris",1097,President,
Acton,-,6,Donald J. Trump,220,President,
Acton,-,6,Jill E. Stein,15,President,
Acton,-,6,Shiva Ayyadurai,8,President,
Acton,-,6,Chase Russell Oliver,11,President,
Acton,-,6,De La Cruz,4,President,
Acton,-,6,Sonski,0,President,
Acton,-,6,David E. West,0,President,
Acton,-,6,All Others,12,President,
Acton,-,6,No Preference,0,President,
Acton,-,6,Blanks,8,President,
Acton,-,6,Total Votes Cast,1375,President,
Acton,-,6A,"Kamala Harris",467,President,
Acton,-,6A,Donald J. Trump,90,President,
Acton,-,6A,Jill E. Stein,8,President,
Acton,-,6A,Shiva Ayyadurai,3,President,
Acton,-,6A,Chase Russell Oliver,3,President,
Acton,-,6A,De La Cruz,1,President,
Acton,-,6A,Sonski,0,President,
Acton,-,6A,David E. West,0,President,
Acton,-,6A,All Others,4,President,
Acton,-,6A,No Preference,0,President,
Acton,-,6A,Blanks,8,President,
Acton,-,6A,Total Votes Cast,584,President,
Acton,-,7,"Kamala Harris",1170,President,
Acton,-,7,Donald J. Trump,351,President,
Acton,-,7,Jill E. Stein,23,President,
Acton,-,7,Shiva Ayyadurai,9,President,
Acton,-,7,Chase Russell Oliver,8,President,
Acton,-,7,De La Cruz,5,President,
Acton,-,7,Sonski,0,President,
Acton,-,7,David E. West,0,President,
Acton,-,7,All Others,7,President,
Acton,-,7,No Preference,0,President,
Acton,-,7,Blanks,24,President,
Acton,-,7,Total Votes Cast,1597,President,
Acushnet,-,1,"Kamala Harris",745,President,
Acushnet,-,1,Donald J. Trump,1148,President,
Acushnet,-,1,Jill E. Stein,7,President,
Acushnet,-,1,Shiva Ayyadurai,9,President,
Acushnet,-,1,Chase Russell Oliver,12,President,
Acushnet,-,1,De La Cruz,0,President,
Acushnet,-,1,Sonski,0,President,
Acushnet,-,1,David E. West,0,President,
Acushnet,-,1,All Others,2,President,
Acushnet,-,1,No Preference,0,President,
Acushnet,-,1,Blanks,7,President,
Acushnet,-,1,Total Votes Cast,1930,President,
Acushnet,-,2,"Kamala Harris",670,President,
Acushnet,-,2,Donald J. Trump,1201,President,
Acushnet,-,2,Jill E. Stein,6,President,
Acushnet,-,2,Shiva Ayyadurai,12,President,
Acushnet,-,2,Chase Russell Oliver,4,President,
Acushnet,-,2,De La Cruz,1,President,
Acushnet,-,2,Sonski,0,President,
Acushnet,-,2,David E. West,0,President,
Acushnet,-,2,All Others,9,President,
Acushnet,-,2,No Preference,0,President,
Acushnet,-,2,Blanks,15,President,
Acushnet,-,2,Total Votes Cast,1918,President,
Acushnet,-,2A,"Kamala Harris",92,President,
Acushnet,-,2A,Donald J. Trump,138,President,
Acushnet,-,2A,Jill E. Stein,1,President,
Acushnet,-,2A,Shiva Ayyadurai,1,President,
Acushnet,-,2A,Chase Russell Oliver,0,President,
Acushnet,-,2A,De La Cruz,0,President,
Acushnet,-,2A,Sonski,0,President,
Acushnet,-,2A,David E. West,0,President,
Acushnet,-,2A,All Others,0,President,
Acushnet,-,2A,No Preference,0,President,
Acushnet,-,2A,Blanks,1,President,
Acushnet,-,2A,Total Votes Cast,233,President,
Acushnet,-,3,"Kamala Harris",804,President,
Acushnet,-,3,Donald J. Trump,1321,President,
Acushnet,-,3,Jill E. Stein,3,President,
Acushnet,-,3,Shiva Ayyadurai,18,President,
Acushnet,-,3,Chase Russell Oliver,10,President,
Acushnet,-,3,De La Cruz,7,President,
Acushnet,-,3,Sonski,0,President,
Acushnet,-,3,David E. West,0,President,
Acushnet,-,3,All Others,9,President,
Acushnet,-,3,No Preference,0,President,
Acushnet,-,3,Blanks,18,President,
Acushnet,-,3,Total Votes Cast,2190,President,
Adams,-,1,"Kamala Harris",463,President,
Adams,-,1,Donald J. Trump,277,President,
Adams,-,1,Jill E. Stein,3,President,
Adams,-,1,Shiva Ayyadurai,6,President,
Adams,-,1,Chase Russell Oliver,3,President,
Adams,-,1,De La Cruz,1,President,
Adams,-,1,Sonski,0,President,
Adams,-,1,David E. West,0,President,
Adams,-,1,All Others,5,President,
Adams,-,1,No Preference,0,President,
Adams,-,1,Blanks,7,President,
Adams,-,1,Total Votes Cast,765,President,
Adams,-,2,"Kamala Harris",539,President,
Adams,-,2,Donald J. Trump,357,President,
Adams,-,2,Jill E. Stein,7,President,
Adams,-,2,Shiva Ayyadurai,4,President,
Adams,-,2,Chase Russell Oliver,3,President,
Adams,-,2,De La Cruz,2,President,
Adams,-,2,Sonski,0,President,
Adams,-,2,David E. West,0,President,
Adams,-,2,All Others,4,President,
Adams,-,2,No Preference,0,President,
Adams,-,2,Blanks,8,President,
Adams,-,2,Total Votes Cast,924,President,
Adams,-,3,"Kamala Harris",529,President,
Adams,-,3,Donald J. Trump,362,President,
Adams,-,3,Jill E. Stein,4,President,
Adams,-,3,Shiva Ayyadurai,5,President,
Adams,-,3,Chase Russell Oliver,5,President,
Adams,-,3,De La Cruz,1,President,
Adams,-,3,Sonski,0,President,
Adams,-,3,David E. West,0,President,
Adams,-,3,All Others,3,President,
Adams,-,3,No Preference,0,President,
Adams,-,3,Blanks,6,President,
Adams,-,3,Total Votes Cast,915,President,
Adams,-,4,"Kamala Harris",475,President,
Adams,-,4,Donald J. Trump,303,President,
Adams,-,4,Jill E. Stein,3,President,
Adams,-,4,Shiva Ayyadurai,5,President,
