city_town,ward,precinct,"Alice R, Harris",Donald J. Trump,Jill E. Stein,Shiva Ayyadurai,Chase Russell Oliver,De La Cruz,Sonski,David E. West,All Others,No Preference,Blanks,Total Votes Cast
Winchendon,-,1,626,962,11,15,16,1,0,0,15,0,11,1657
Winchendon,-,2,771,967,4,6,13,7,0,1,17,0,8,1794
Winchendon,-,3,762,1004,9,13,6,4,0,0,6,0,11,1815
Winchester,-,1,1209,443,20,6,12,1,0,0,15,0,16,1722
Winchester,-,2,949,398,19,5,5,4,0,0,13,0,19,1412
Winchester,-,3,1413,349,8,4,14,5,0,0,26,0,24,1843
Winchester,-,4,1227,472,7,6,23,1,0,0,17,0,20,1773
Winchester,-,5,1113,547,11,5,9,1,0,0,27,0,27,1740
Winchester,-,6,1123,534,19,16,10,3,0,0,28,0,25,1758
Winchester,-,7,1223,445,5,11,17,2,0,0,29,0,30,1762
Winchester,-,8,842,462,19,13,7,3,0,0,21,0,19,1386
Windsor,-,1,338,206,6,0,5,0,0,0,1,0,5,561
Winthrop,-,1,832,756,6,12,7,4,0,0,16,0,14,1647
Winthrop,-,2,799,803,13,6,3,7,0,0,13,0,16,1660
Winthrop,-,3,942,589,12,4,10,4,0,0,8,0,19,1588
Winthrop,-,4,667,509,7,6,1,5,0,0,5,0,10,1210
Winthrop,-,5,969,736,1,8,5,3,0,0,18,0,28,1768
Winthrop,-,6,945,583,8,10,6,5,0,0,9,0,12,1578
Woburn,1,1,808,480,12,8,7,1,0,0,9,0,14,1339
Woburn,1,2,853,498,22,8,3,4,0,0,4,0,16,1408
Woburn,1,2A,55,27,0,2,0,2,0,0,0,0,1,87
Woburn,2,1,936,689,14,6,14,3,0,1,9,0,26,1698
Woburn,2,2,808,491,13,11,4,4,0,0,5,0,14,1350
Woburn,3,1,921,586,10,7,8,3,0,1,12,0,15,1563
Woburn,3,2,900,901,7,12,9,2,0,0,8,0,31,1870
Woburn,4,1,886,765,9,9,8,0,0,0,13,0,23,1713
Woburn,4,2,812,548,6,9,4,3,0,0,4,0,12,1398
Woburn,5,1,997,531,9,4,11,6,0,0,12,0,15,1585
Woburn,5,2,855,605,19,6,3,2,0,0,5,0,16,1511
Woburn,6,1,623,386,5,4,13,4,0,0,5,0,16,1056
Woburn,6,2,861,705,26,6,7,4,0,0,4,0,20,1633
Woburn,7,1,940,818,15,7,11,5,0,0,6,0,25,1827
Woburn,7,2,1097,843,11,9,19,3,0,0,11,0,37,2030
Worcester,1,1,607,244,10,2,6,10,0,0,8,0,7,894
Worcester,1,2,1307,756,21,12,4,7,0,0,9,0,22,2138
Worcester,1,3,733,342,11,4,10,3,0,0,14,0,14,1131
Worcester,1,4,1275,520,25,6,6,8,0,0,11,0,17,1868
Worcester,1,5,912,576,18,6,5,2,0,0,9,0,14,1542
Worcester,1,6,1224,808,12,17,11,6,0,0,7,0,24,2109
Worcester,2,1,1158,612,13,5,7,6,0,0,9,0,25,1835
Worcester,2,2,909,534,13,12,12,4,0,0,15,0,10,1509
Worcester,2,3,984,547,12,7,7,7,0,0,9,0,14,1587
Worcester,2,4,792,319,6,9,4,4,0,0,3,0,9,1146
Worcester,2,5,600,317,11,9,1,6,0,0,2,0,8,954
Worcester,2,6,829,430,5,8,6,4,0,0,5,0,14,1301
Worcester,2,6A,0,0,0,0,0,0,0,0,0,0,0,0
Worcester,3,1,427,228,7,1,1,6,0,0,4,0,3,677
Worcester,3,2,327,140,4,2,0,2,0,0,1,0,5,481
Worcester,3,3,825,515,18,15,8,5,0,0,6,0,14,1406
Worcester,3,3A,0,0,0,0,0,0,0,0,0,0,0,0
Worcester,3,4,490,191,4,4,2,7,0,0,2,0,11,711
Worcester,3,5,823,321,17,8,4,8,0,0,3,0,13,1197
Worcester,3,5A,0,0,0,0,0,0,0,0,0,0,0,0
Worcester,3,6,784,395,16,5,0,10,0,0,5,0,18,1233
Worcester,4,1,333,183,2,2,1,0,0,0,2,0,9,532
Worcester,4,2,313,171,6,2,3,5,0,0,6,0,6,512
Worcester,4,2A,196,92,6,3,2,2,0,0,3,0,3,307
Worcester,4,2B,0,0,0,0,0,0,0,0,0,0,0,0
Worcester,4,3,459,154,5,4,6,8,0,0,5,0,6,647
Worcester,4,4,674,390,8,4,3,8,0,0,7,0,12,1106
Worcester,4,5,760,412,14,6,5,8,0,0,3,0,15,1223
Worcester,4,6,689,489,8,7,9,5,0,0,4,0,6,1217
Worcester,5,1,467,238,3,4,2,7,0,0,3,0,4,728
Worcester,5,2,761,529,12,2,3,10,0,0,6,0,16,1339
Worcester,5,3,936,723,7,12,11,16,0,0,9,0,12,1726
Worcester,5,4,878,543,16,13,5,8,0,0,15,0,15,1493
Worcester,5,5,805,600,16,8,7,6,0,0,15,0,22,1479
Worcester,5,6,690,460,9,9,2,8,0,0,1,0,15,1194
Worcester,6,1,322,137,4,1,3,2,0,0,1,0,1,471
Worcester,6,2,451,260,1,3,1,4,0,0,3,0,7,730
Worcester,6,3,391,235,9,2,4,8,0,0,2,0,7,658
Worcester,6,4,108,38,1,0,1,0,0,0,0,0,1,149
Worcester,6,5,521,379,11,7,3,6,0,0,7,0,9,943
Worcester,6,6,832,568,6,4,5,4,0,0,2,0,14,1435
Worcester,7,1,853,427,6,8,5,9,0,0,9,0,11,1328
Worcester,7,2,724,465,14,7,2,5,0,0,8,0,7,1232
Worcester,7,3,548,318,5,11,1,9,0,0,7,0,5,904
Worcester,7,4,835,481,14,10,8,5,0,0,5,0,13,1371
Worcester,7,5,513,425,4,6,4,2,0,0,3,0,5,962
Worcester,7,5A,188,104,2,4,3,4,0,0,4,0,0,309
Worcester,7,6,763,503,12,8,9,6,0,0,4,0,13,1318
