iter	Passed	Remaining
152	356	1972
153	356	1959
154	358	1952
155	359	1946
156	361	1940
157	362	1933
158	364	1927
159	365	1920
160	367	1914
161	368	1908
162	370	1903
163	372	1896
164	373	1890
165	375	1884
166	377	1883
167	378	1876
168	380	1870
169	381	1864
170	383	1859
171	385	1855
172	386	1849
173	388	1842
174	389	1836
175	390	1829
176	392	1824
177	393	1818
178	395	1813
179	396	1807
180	398	1801
181	399	1796
182	401	1790
183	402	1786
184	404	1780
185	405	1775
186	407	1771
187	409	1766
188	410	1761
189	411	1756
190	413	1752
191	415	1747
192	416	1743
193	418	1739
194	420	1735
195	422	1731
196	423	1726
197	424	1721
198	426	1717
199	427	1710
200	429	1706
201	430	1701
202	432	1696
203	433	1692
204	435	1687
205	436	1684
206	438	1678
207	439	1673
208	441	1669
209	443	1667
210	445	1667
211	447	1662
212	448	1658
213	450	1655
214	452	1650
215	453	1647
216	455	1643
217	457	1640
218	459	1637
219	460	1633
220	463	1633
221	465	1632
222	467	1629
223	469	1626
224	471	1623
225	473	1620
226	474	1615
227	476	1612
228	477	1607
229	479	1604
230	481	1601
231	482	1598
232	484	1594
233	486	1592
234	488	1589
235	489	1584
236	491	1581
237	492	1577
238	494	1573
239	496	1570
240	497	1566
241	498	1562
242	500	1559
243	502	1557
244	504	1553
245	505	1550
246	508	1551
247	510	1546
248	511	1542
249	513	1539
250	514	1536
251	517	1535
252	518	1531
253	520	1528
254	522	1525
255	523	1522
256	525	1519
257	527	1516
258	528	1513
259	530	1509
260	532	1508
261	534	1505
262	536	1502
263	538	1500
264	539	1496
265	541	1493
266	543	1491
267	545	1488
268	546	1485
269	548	1483
270	550	1479
271	551	1477
272	553	1474
273	555	1471
274	556	1468
275	559	1466
276	561	1464
277	562	1461
278	564	1458
279	566	1456
280	567	1453
281	570	1453
282	572	1451
283	574	1448
284	576	1445
285	577	1441
286	579	1438
287	580	1436
288	582	1433
289	584	1430
290	586	1428
291	588	1427
292	590	1424
293	592	1422
294	593	1419
295	595	1416
296	597	1413
297	599	1411
298	600	1407
299	601	1403
300	603	1402
301	606	1401
302	608	1399
303	609	1396
304	611	1393
305	613	1392
306	615	1390
307	617	1386
308	618	1384
309	620	1381
310	622	1378
311	623	1375
312	625	1373
313	627	1370
314	629	1368
315	630	1365
316	632	1363
317	634	1361
318	636	1358
319	638	1356
320	640	1354
321	641	1351
322	643	1349
323	645	1346
324	647	1344
325	648	1341
326	650	1339
327	652	1337
328	654	1334
329	656	1331
330	657	1329
331	659	1326
332	661	1324
333	663	1322
334	664	1319
335	666	1317
336	668	1314
337	669	1312
338	671	1309
339	673	1308
340	675	1305
341	677	1303
342	680	1302
343	681	1300
344	683	1298
345	685	1295
346	686	1292
347	688	1289
348	691	1289
349	693	1287
350	694	1284
351	697	1283
352	700	1283
353	701	1280
354	702	1277
355	704	1274
356	706	1272
357	707	1269
358	709	1267
359	711	1264
360	713	1262
361	716	1262
362	717	1259
363	719	1256
364	720	1254
365	722	1252
366	725	1250
367	726	1247
368	728	1245
369	729	1242
370	731	1239
371	733	1238
372	735	1236
373	737	1234
374	740	1234
375	742	1232
376	744	1230
377	746	1228
378	748	1226
379	750	1223
380	751	1221
381	753	1219
382	755	1216
383	757	1214
384	758	1211
385	760	1209
386	761	1206
387	764	1205
388	765	1203
389	768	1201
390	769	1199
391	771	1196
392	773	1194
393	774	1191
394	776	1189
395	777	1186
396	779	1184
397	781	1182
398	783	1179
399	784	1177
400	786	1174
401	787	1171
402	789	1169
403	790	1166
404	792	1163
405	793	1161
406	796	1160
407	797	1157
408	799	1155
409	801	1152
410	802	1150
411	804	1147
412	805	1144
413	807	1142
414	808	1139
415	809	1136
416	812	1135
417	814	1133
418	815	1130
419	816	1128
420	818	1126
421	820	1123
422	823	1123
423	825	1121
424	827	1119
425	828	1116
426	830	1114
427	832	1112
428	833	1109
429	835	1107
430	837	1105
431	839	1103
432	840	1100
433	842	1098
434	844	1096
435	845	1094
436	847	1091
437	849	1089
438	850	1087
439	852	1085
440	854	1082
441	856	1080
442	857	1077
443	859	1075
444	861	1074
445	863	1071
446	864	1070
447	866	1067
448	868	1065
449	871	1064
450	872	1062
451	874	1059
452	875	1057
453	877	1055
454	880	1054
455	882	1052
456	883	1050
457	886	1048
458	887	1045
459	888	1043
460	890	1041
461	892	1038
462	894	1037
463	895	1034
464	897	1032
465	898	1029
466	900	1027
467	902	1025
468	903	1022
469	905	1020
470	906	1018
471	908	1016
472	909	1013
473	911	1011
474	913	1009
475	915	1007
476	917	1006
477	920	1004
478	921	1002
479	923	1000
480	925	998
481	927	996
482	929	994
483	931	993
484	933	991
485	935	989
486	938	988
487	940	986
488	941	984
489	943	982
490	944	979
491	946	977
492	948	975
493	951	974
494	952	972
495	954	969
496	956	968
497	958	966
498	960	963
499	961	961
500	963	959
501	965	957
502	967	955
503	969	953
504	970	951
505	972	949
506	974	947
507	977	946
508	979	944
509	981	943
510	983	940
511	984	938
512	987	937
513	988	934
514	990	932
515	992	930
516	993	928
517	995	926
518	997	924
519	998	922
520	1000	919
521	1001	917
522	1003	915
523	1005	913
524	1007	911
525	1008	909
526	1010	906
527	1011	904
528	1013	902
529	1015	900
530	1016	897
531	1018	895
532	1020	893
533	1021	891
534	1023	889
535	1025	887
536	1027	885
537	1028	883
538	1030	881
539	1032	879
540	1033	877
541	1035	875
542	1037	873
543	1038	870
544	1040	868
545	1043	867
546	1044	865
547	1046	863
548	1048	861
549	1050	859
550	1053	858
551	1055	856
552	1057	854
553	1058	852
554	1060	850
555	1062	848
556	1064	846
557	1065	844
558	1068	843
559	1070	840
560	1072	839
561	1073	836
562	1075	834
563	1077	832
564	1078	830
565	1080	828
566	1083	827
567	1085	825
568	1086	823
569	1088	821
570	1090	819
571	1092	817
572	1093	815
573	1096	813
574	1098	811
575	1099	809
576	1102	808
577	1104	806
578	1106	804
579	1107	802
580	1109	799
581	1111	798
582	1112	795
583	1114	793
584	1115	791
585	1117	789
586	1119	787
587	1121	785
588	1122	783
589	1124	781
590	1125	779
591	1128	777
592	1130	775
593	1131	773
594	1133	771
595	1135	769
596	1138	768
597	1139	766
598	1141	764
599	1142	761
600	1144	759
601	1146	757
602	1148	756
603	1150	754
604	1152	752
605	1154	750
606	1155	748
607	1157	746
608	1159	744
609	1160	742
610	1162	740
611	1164	738
612	1166	736
613	1167	734
614	1169	731
615	1170	729
616	1172	727
617	1173	725
618	1175	723
619	1178	722
620	1180	720
621	1181	718
622	1183	716
623	1184	713
624	1186	711
625	1187	709
626	1189	707
627	1191	705
628	1192	703
629	1194	701
630	1196	699
631	1197	697
632	1199	695
633	1200	693
634	1201	690
635	1203	688
636	1204	686
637	1206	684
638	1207	682
639	1209	680
640	1210	678
641	1212	676
642	1214	674
643	1215	672
644	1216	669
645	1218	667
646	1220	665
647	1221	663
648	1223	661
649	1224	659
650	1225	656
651	1227	655
652	1228	652
653	1230	650
654	1231	648
655	1233	646
656	1234	644
657	1236	642
658	1238	640
659	1239	638
660	1241	636
661	1243	634
662	1245	632
663	1246	630
664	1248	628
665	1249	626
666	1251	624
667	1253	622
668	1254	620
669	1255	618
670	1257	616
671	1259	614
672	1261	612
673	1263	610
674	1264	608
675	1266	606
676	1268	605
677	1269	602
678	1271	601
679	1273	599
680	1275	597
681	1276	595
682	1279	593
683	1280	591
684	1281	589
685	1283	587
686	1284	585
687	1286	583
688	1288	581
689	1290	579
690	1292	577
691	1294	576
692	1297	574
693	1298	572
694	1300	570
695	1302	568
696	1303	566
697	1305	564
698	1306	562
699	1308	560
700	1310	558
701	1311	556
702	1313	554
703	1315	553
704	1317	551
705	1318	549
706	1320	547
707	1322	545
708	1323	543
709	1325	541
710	1327	539
711	1329	537
712	1331	535
713	1333	533
714	1334	532
715	1336	530
716	1338	528
717	1339	526
718	1342	524
719	1344	522
720	1345	520
721	1347	518
722	1348	516
723	1350	514
724	1351	512
725	1353	510
726	1355	508
727	1357	507
728	1359	505
729	1361	503
730	1362	501
731	1364	499
732	1366	497
733	1367	495
734	1368	493
735	1370	491
736	1371	489
737	1373	487
738	1374	485
739	1376	483
740	1377	481
741	1380	479
742	1381	477
743	1382	475
744	1383	473
745	1385	471
746	1387	469
747	1389	467
748	1389	465
749	1392	464
750	1393	462
751	1394	460
752	1397	458
753	1399	456
754	1401	454
755	1402	452
756	1404	450
757	1406	449
758	1408	447
759	1409	445
760	1411	443
761	1413	441
762	1416	439
763	1417	437
764	1419	435
765	1420	434
766	1422	432
767	1423	429
768	1424	427
769	1425	425
770	1427	423
771	1429	422
772	1431	420
773	1432	418
774	1434	416
775	1436	414
776	1437	412
777	1439	410
778	1441	409
779	1443	407
780	1445	405
781	1446	403
782	1448	401
783	1450	399
784	1452	397
785	1454	396
786	1456	394
787	1457	392
788	1459	390
789	1461	388
790	1462	386
791	1465	384
792	1467	383
793	1468	381
794	1470	379
795	1472	377
796	1474	375
797	1475	373
798	1478	371
799	1479	369
800	1481	368
801	1483	366
802	1484	364
803	1485	362
804	1487	360
805	1488	358
806	1490	356
807	1492	354
808	1494	352
809	1495	350
810	1498	349
811	1500	347
812	1501	345
813	1502	343
814	1504	341
815	1507	339
816	1508	337
817	1510	336
818	1512	334
819	1513	332
820	1515	330
821	1517	328
822	1518	326
823	1520	324
824	1522	322
825	1523	320
826	1525	319
827	1526	317
828	1528	315
829	1529	313
830	1531	311
831	1533	309
832	1535	307
833	1537	306
834	1539	304
835	1540	302
836	1542	300
837	1545	298
838	1546	296
839	1548	294
840	1550	293
841	1551	291
842	1554	289
843	1556	287
844	1557	285
845	1559	283
846	1560	281
847	1562	280
848	1564	278
849	1565	276
850	1567	274
851	1568	272
852	1570	270
853	1572	268
854	1574	267
855	1576	265
856	1578	263
857	1580	261
858	1581	259
859	1583	257
860	1585	255
861	1586	254
862	1588	252
863	1590	250
864	1592	248
865	1594	246
866	1595	244
867	1597	242
868	1598	240
869	1601	239
870	1603	237
871	1604	235
872	1607	233
873	1609	232
874	1612	230
875	1614	228
876	1616	226
877	1617	224
878	1619	222
879	1621	221
880	1623	219
881	1625	217
882	1627	215
883	1628	213
884	1630	211
885	1631	209
886	1633	208
887	1635	206
888	1636	204
889	1638	202
890	1640	200
891	1641	198
892	1643	196
893	1645	195
894	1647	193
895	1648	191
896	1651	189
897	1653	187
898	1655	185
899	1657	184
900	1659	182
901	1660	180
902	1662	178
903	1664	176
904	1665	174
905	1667	173
906	1669	171
907	1671	169
908	1672	167
909	1673	165
910	1675	163
911	1677	161
912	1678	159
913	1680	158
914	1681	156
915	1683	154
916	1685	152
917	1687	150
918	1689	148
919	1690	147
920	1692	145
921	1694	143
922	1696	141
923	1698	139
924	1700	137
925	1701	136
926	1703	134
927	1704	132
928	1707	130
929	1709	128
930	1710	126
931	1712	124
932	1715	123
933	1716	121
934	1718	119
935	1719	117
936	1721	115
937	1722	113
938	1724	112
939	1726	110
940	1727	108
941	1729	106
942	1731	104
943	1733	102
944	1735	101
945	1737	99
946	1738	97
947	1740	95
948	1742	93
949	1744	91
950	1746	89
951	1747	88
952	1749	86
953	1751	84
954	1753	82
955	1754	80
956	1756	78
957	1759	77
958	1760	75
959	1762	73
960	1764	71
961	1766	69
962	1767	67
963	1769	66
964	1771	64
965	1773	62
966	1774	60
967	1776	58
968	1777	56
969	1779	55
970	1780	53
971	1782	51
972	1784	49
973	1785	47
974	1787	45
975	1789	44
976	1791	42
977	1793	40
978	1795	38
979	1796	36
980	1798	34
981	1799	32
982	1801	31
983	1802	29
984	1804	27
985	1805	25
986	1807	23
987	1809	21
988	1811	20
989	1812	18
990	1813	16
991	1815	14
992	1817	12
993	1819	10
994	1821	9
995	1823	7
996	1825	5
997	1826	3
998	1828	1
999	1829	0
