iter	RMSE
0	26.19421547
1	25.71786943
2	25.20837173
3	24.75189967
4	24.32645859
5	23.89426585
6	23.48920525
7	23.1099146
8	22.7229379
9	22.36304015
10	22.02156358
11	21.81424975
12	21.43652921
13	21.1110295
14	20.79337811
15	20.51925281
16	20.22853244
17	19.94275131
18	19.73616462
19	19.48925113
20	19.20575899
21	18.99156829
22	18.72374475
23	18.47268234
24	18.27833385
25	18.12221412
26	17.93312233
27	17.74218258
28	17.56232863
29	17.40520762
30	17.23288885
31	17.04865677
32	16.84199885
33	16.69780751
34	16.53150686
35	16.42323794
36	16.31082804
37	16.19036333
38	16.06101909
39	15.94619025
40	15.83044044
41	15.69520283
42	15.57303421
43	15.48019253
44	15.35006684
45	15.28261306
46	15.2088136
47	15.13095602
48	15.04161308
49	14.95093732
50	14.86801664
51	14.7798279
52	14.69589793
53	14.594987
54	14.52204823
55	14.44686808
56	14.3746975
57	14.30801128
58	14.25150835
59	14.1689585
60	14.10414237
61	14.05154015
62	13.97812712
63	13.92214756
64	13.85232145
65	13.80034568
66	13.77474867
67	13.7089492
68	13.66095686
69	13.61468853
70	13.56264704
71	13.52534281
72	13.4692214
73	13.41907899
74	13.37519047
75	13.31061551
76	13.27420089
77	13.23553807
78	13.19403322
79	13.14276341
80	13.07774847
81	13.04960097
82	13.03062587
83	12.98546551
84	12.92947256
85	12.90278072
86	12.87987482
87	12.85103991
88	12.78497479
89	12.74889439
90	12.73605606
91	12.68998476
92	12.66577653
93	12.61757316
94	12.56043774
95	12.52141194
96	12.51103306
97	12.49602958
98	12.46519894
99	12.41913569
100	12.36229405
101	12.34398112
102	12.30489678
103	12.25509225
104	12.20385266
105	12.18154372
106	12.15731
107	12.14792913
108	12.10503015
109	12.08312779
110	12.05303127
111	12.03078308
112	12.00424117
113	11.98706666
114	11.96624154
115	11.91949289
116	11.87796349
117	11.84236817
118	11.81020667
119	11.79396684
120	11.77077114
121	11.73736145
122	11.70959119
123	11.68029727
124	11.63775014
125	11.62233318
126	11.59466452
127	11.57156151
128	11.54507166
129	11.50113008
130	11.47844693
131	11.45859818
132	11.44181487
133	11.4219266
134	11.4016704
135	11.39402098
136	11.36290139
137	11.33122207
138	11.2903599
139	11.2759672
140	11.26501337
141	11.2354431
142	11.22650833
143	11.21277363
144	11.19893405
145	11.19022294
146	11.17999943
147	11.16838694
148	11.15576853
149	11.1255102
150	11.10355593
151	11.07919833
152	11.06885189
153	11.0679744
154	11.0346781
155	11.00536468
156	10.9853889
157	10.9658348
158	10.94532281
159	10.9400267
160	10.92576761
161	10.89043348
162	10.87293739
163	10.84679083
164	10.83666729
165	10.81650338
166	10.79208585
167	10.78899754
168	10.77767499
169	10.75705963
170	10.74279255
171	10.72965753
172	10.70491606
173	10.68212117
174	10.64834348
175	10.60900649
176	10.59072595
177	10.5769738
178	10.56039755
179	10.51874532
180	10.49876685
181	10.46444465
182	10.4497357
183	10.42673892
184	10.40777441
185	10.38961183
186	10.35707756
187	10.34765967
188	10.32490301
189	10.30985981
190	10.27704671
191	10.26058313
192	10.24034288
193	10.19864056
194	10.170646
195	10.14102817
196	10.11835861
197	10.09208394
198	10.07467096
199	10.07078709
200	10.04986757
201	10.02820367
202	9.998642889
203	9.972887317
204	9.956263469
205	9.952565842
206	9.942079485
207	9.93351832
208	9.911484689
209	9.884781202
210	9.868132417
211	9.858231838
212	9.83742125
213	9.80940692
214	9.787975667
215	9.76458611
216	9.747493753
217	9.725105445
218	9.709827904
