name,city_town,ward,precinct,gender_female,total_population,race_white,race_black,race_native_american,race_asian,race_hawaiian,race_other,race_multiracial,race_hispanic,total_households,ed_25yrs_older_total,median_age,median_household_income,median_family_income,ancestry_afghan,ancestry_albanian,ancestry_alsatian,ancestry_american,ancestry_arab,ancestry_armenian,ancestry_assyrian,ancestry_australian,ancestry_austrian,ancestry_basque,ancestry_belgian,ancestry_brazilian,ancestry_british,ancestry_bulgarian,ancestry_cajun,ancestry_canadian,ancestry_carpatho_rusyn,ancestry_celtic,ancestry_croatian,ancestry_cypriot,ancestry_czech,ancestry_czechoslovakian,ancestry_danish,ancestry_dutch,ancestry_eastern_european,ancestry_english,ancestry_estonian,ancestry_european,ancestry_finnish,ancestry_french,ancestry_french_canadian,ancestry_german,ancestry_german_russian,ancestry_greek,ancestry_guyanese,ancestry_hungarian,ancestry_icelander,ancestry_iranian,ancestry_irish,ancestry_israeli,ancestry_italian,ancestry_latvian,ancestry_lithuanian,ancestry_luxembourger,ancestry_macedonian,ancestry_maltese,ancestry_new_zealander,ancestry_northern_european,ancestry_norwegian,ancestry_pennsylvania_german,ancestry_polish,ancestry_portuguese,ancestry_romanian,ancestry_russian,ancestry_scandinavian,ancestry_scotch_irish,ancestry_scottish,ancestry_serbian,ancestry_slavic,ancestry_slovak,ancestry_slovene,ancestry_soviet_union,ancestry_subsaharan_african,ancestry_swedish,ancestry_swiss,ancestry_turkish,ancestry_ukrainian,ancestry_welsh,ancestry_west_indian,ancestry_yugoslavian,ancestry_other,poverty_total,below_poverty_level,above_poverty_level,ed_college_degree,ed_some_college,race_minority,vote_male_eligible,vote_female_eligible,vote_eligible,gender_female_pct,below_poverty_pct,ed_college_degree_pct,ed_some_college_pct,race_minority_pct,race_white_pct,race_black_pct,race_asian_pct,race_hispanic_pct,race_native_pct,poverty_pct,vote_female_pct,wwc_pct,white_college_pct,ancestry_french_candadian_pct,ancestry_portuguese_pct,area_m2
Abington 1,Abington,-,1,1970.3896383186707,3963.8757575757577,3245.337145650049,15.164222873900293,0,75.5813294232649,0,200.08709677419353,163.3210166177908,264.38494623655913,1484.6853861192571,2865.857038123167,40.06923076923077,124149.01923076923,118304.76923076923,0,262.0879120879121,0,224.69326325848067,15.645007166746296,2.608695652173913,0,0,0,0,0,44.50549450549451,0,0,0,32.41758241758242,0,0,0,0,0,0,0,0,0,58.55757286192069,0,15.324892498805543,0,48.35164835164836,35.93549928332537,8.245580506450072,0,6.723841376015289,0,0,0,0,639.5446727185858,0,142.65408504538942,0,4.395604395604396,0,0,0,0,0,0,0,3.5652173913043477,15.661251791686574,0,0,0,10.07978977544195,64.25800286669853,0,0,0,0,0,93.37792642140468,19.61777353081701,0,0,0,7.142857142857143,0.3913043478260869,0,342.16005733397037,4158.765886287625,111.84137601528907,4046.9245102723366,1081.3974584555228,1866.9043988269793,718.5386119257087,1511.859053989489,1589.0181557572862,3100.8772097467754,0.49708662905310863,0.026892924264877455,0.27281315676677215,0.47097954451749713,0.18127172895175586,0.8187282710482442,0.0038256049889854485,0.019067532396497014,0.06669859561850967,0,0.026892924264877455,0.5124414958330611,0.39151513277377975,0.2580779705402913,0.009065748141738666,0.003950994619787161,4511416.42212582
Abington 2,Abington,-,2,1796.2293010752687,3511.1875,3075.337096774193,6.144489247311828,0,67.47056451612903,0,156.92123655913977,50.174059139784944,155.14005376344087,1262.5744623655914,2548.129704301075,39.17391304347826,119902.52173913043,126423.15217391304,0,167.73626373626374,0,147.15934065934067,34.22802197802198,0,0,0,0,0,0,28.483516483516485,1.25,0,0,20.747252747252748,0,0,0,0,0,0,0,0,0,53.85989010989011,0,6.32967032967033,0,31.19505494505495,22.552197802197803,15.469780219780219,0,4.21978021978022,0,0,0,0,538.1703296703297,0,130.22252747252747,0,4.313186813186814,0,0,0,0,2,0,0,10.25,13.994505494505495,0,0,0,5.978021978021978,40.791208791208796,0,0,0,0,0,64.9423076923077,11.244505494505495,0,0,0,4.571428571428572,0,0,327.8241758241759,3401.8653846153848,130.5302197802198,3271.335164835165,999.4711021505376,1581.7899193548387,435.8504032258064,1249.901098901099,1298.2390109890111,2548.14010989011,0.5115731646559087,0.03837018959378299,0.284653298107987,0.4504999859320639,0.12413190785903812,0.8758680921409617,0.001749974687285093,0.019215881953364506,0.04418449705788736,0,0.03837018959378299,0.5094849399960971,0.3573757273894336,0.2424487348035293,0.006422954570839012,0.0039856901673594744,4345983.88666259
Abington 3,Abington,-,3,1502.388888888889,3050.4513888888887,2373.777777777778,38.15972222222222,0,208.89583333333331,0,2.2222222222222223,194.99305555555554,232.40277777777777,1202.125,2226.1736111111113,37.983333333333334,116275.52380952382,138761.45238095237,0,0,0,21.49223602484472,85.88431677018633,1.3043478260869565,0,0,0,0,0,0,3.6607142857142856,0,0,0,0,0,0,0,0,0,0,0,0,60.469720496894404,0,2.717391304347826,0,0.7321428571428571,3.1312111801242235,33.77251552795031,0,0.06521739130434782,0,0,0,0,494.7531055900621,0,157.86413043478262,0,4.392857142857142,0,0,0,0,5.857142857142857,0,0,31.800465838509318,13.591614906832296,0,0,0,0.3695652173913043,0.2608695652173913,0,0,0,0,0,45.10791925465838,7.516304347826087,0,0,0,0,0.19565217391304346,0,360.1459627329192,2809.6700310559004,216.41381987577637,2593.256211180124,986.3958333333334,1590.0902777777778,676.6736111111111,1051.9130434782608,1083.3346273291925,2135.2476708074532,0.49251363072405047,0.07702463900874724,0.32336061375251846,0.5212639295186278,0.22182737072154624,0.7781726292784539,0.012509532969847359,0.06848030232319897,0.07618635675503398,0,0.07702463900874724,0.5073578311969424,0.32703947227486796,0.23697312556201838,0.0010264747019177222,0.004455607768849899,5149483.53178499
Abington 4,Abington,-,4,1567.8838383838383,3354.7020202020203,2750.7979797979797,40.323232323232325,0,121.8939393939394,0,17.77777777777778,320.3535353535354,103.55555555555556,1146.5151515151515,2234.4646464646466,42.34827586206896,129469.03448275862,152707.41379310345,0,0,0,71.23913043478261,91.41304347826087,37.82608695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.28260869565217,0,78.80434782608695,0,0,27.108695652173914,23.956521739130437,0,1.891304347826087,0,0,0,0,716.804347826087,0,267.9347826086957,0,0,0,0,0,0,0,0,0,51.69565217391305,11.978260869565219,0,0,0,10.717391304347826,7.565217391304348,0,0,0,0,0,182.82608695652175,69.34782608695653,0,0,0,0,5.673913043478261,0,252.80434782608697,3919.413043478261,267.30434782608694,3652.108695652174,872.5606060606061,1401.2070707070707,603.9040404040404,1374.9782608695652,1585.5434782608695,2960.521739130435,0.467369032761193,0.06820009650957053,0.2601007781931286,0.4176845103585951,0.18001719281394574,0.8199828071860542,0.012019914758570437,0.03633525083894007,0.0308687790843848,0,0.06820009650957053,0.5355621805792163,0.421517383325196,0.2679820725018856,0.008080805832805809,0.0035705886237979156,8481717.31220628
Abington 5,Abington,-,5,1789.1083333333333,3172.7833333333333,2739.75,0.20833333333333334,0,141.15833333333336,0,53.991666666666674,104.15833333333335,133.51666666666668,1292.1,2352.375,38.820833333333326,124935.70833333333,134607.875,0,47.175824175824175,0,74.41602962255136,47.82961060678452,18.26086956521739,0,0,0,0,0,8.010989010989011,0.08928571428571427,0,0,5.835164835164835,0,0,0,0,0,0,0,0,0,47.830207835642625,0,39.82369804108935,0,8.721153846153845,19.27239608217869,13.555602006688963,0,2.099856665074056,0,0,0,0,463.7275441949355,0,155.32447443860488,0,0.8983516483516483,0,0,0,0,0.14285714285714285,0,0,25.688664596273295,8.774366937410417,0,0,0,6.855231724796943,15.124701385570951,0,0,0,0,0,103.74575967510751,36.27359053989489,0,0,0,1.2857142857142856,2.739130434782609,0,189.0654562828476,2657.2856545628283,150.9102365026278,2506.375418060201,945.1750000000001,1634.0083333333332,433.0333333333334,943.3485427615863,1056.8647276636407,2000.213270425227,0.5638923763047167,0.056791123018144346,0.29790089668902703,0.5150078532518766,0.13648373930355578,0.8635162606964443,6.566264110901575e-5,0.044490379109824715,0.04208187343394602,0,0.056791123018144346,0.5283760203425513,0.30496448644369334,0.19662641801720532,0.006074286850823523,0.00276551091441597,3897631.45062677
Acton 1,Acton,-,1,1468.5823429541597,3006.950764006791,1389.7147707979625,114,0,1080,0,43.53989813242784,59.607809847198645,320.08828522920203,1331.6808149405774,2138.064516129032,42.28,127146.86666666667,171773.4,0,9.225806451612904,0,21.975186104218363,0,1.153846153846154,0,0,1.7692307692307694,0,1.6923076923076925,14.258064516129032,0.6923076923076923,0,0,8.086848635235732,0,0,0,0,0.3076923076923077,0,0,0,8.925558312655086,50.75682382133995,0,12.076923076923078,0,1.3846153846153846,18.488833746898262,44.18114143920596,0,6.347394540942928,0,0,0,11.141439205955335,59.898263027295286,0,76.23573200992557,0,25.161290322580648,0,0,0,0,0,0.6923076923076923,0,1.6923076923076925,16.258064516129032,0,33.03970223325062,0,0.9230769230769231,11.987593052109181,0,0,0,0,0,20.967741935483872,0,0,36.67990074441687,0.9230769230769231,0,15.935483870967742,0,947.8337468982631,2823.771712158809,108.71464019851116,2715.057071960298,1684.565365025467,1935.704584040747,1617.2359932088286,814.560794044665,978.3548387096774,1792.9156327543424,0.48839587283340136,0.03849979788748484,0.5602237938810701,0.6437433586246694,0.5378325486958909,0.4621674513041092,0.03791216050644404,0.3591678363768383,0.10644946005124517,0,0.03849979788748484,0.5456781238538776,0.10757210384785207,0.2677691780421506,0.006148698531485668,0.005406827644382512,5689797.57531027
Acton 2,Acton,-,2,1728.5237016373062,3349.2182389840177,2252.146026951076,114.02484472049689,0,726.2756808408983,0,43.32398316970547,113.04534829359515,100.40235500824562,1366.463557480388,2473.6442314114124,48.146153846153844,166782.61538461538,236432.2,0,0,0,37.18919683858231,1.3195876288659794,11.25,0,0,17.827319587628867,0,16.5,14.869304955104754,7.904639175257731,0,0,5.497422680412371,0,0,0,0,3,0,1.1914893617021276,1.0721649484536082,12.954285744610093,180.06524669388446,3.2765957446808507,158.0005713618578,1.096774193548387,36.37870146962053,45.6278063950074,52.775256670605465,0,22.04255319148936,0,0,0,13.716494845360824,178.83668779939006,0,98.48145638899307,1.3404255319148937,3.5483870967741935,0,0,0,0,0,6.75,0,17.629364815430662,25.592344812458872,1.6129032258064515,45.38623884694577,0,9.371134020618557,27.880489849924643,1.9361702127659575,0,2.829787234042553,0,0,46.9810442301297,0.4948453608247423,1.335550382440971,12.702127659574469,10.938144329896907,1.4893617021276595,4.259394745593615,0,764.4194273645182,3449.920486948892,104.88431602855748,3345.036170920335,1990.396991507791,2235.142687606923,1097.0722120329413,1192.0018856710228,1260.1474025146997,2452.1492881857225,0.5160976616924349,0.030401951704491923,0.5942870393873096,0.667362509134356,0.32756068244920855,0.6724393175507912,0.034045211922375716,0.2168493149796095,0.029977847916743277,0,0.030401951704491923,0.5138950587494809,0.11400878381856365,0.4229644615430033,0.013623419896593108,0.007641289096831829,9650007.82478677
Acton 3,Acton,-,3,1921.706471648968,3708.582248046484,2285.954518132639,0.8260869565217391,3.5714285714285716,939.5652173913044,0,116.37868162692847,256.0360649168503,106.25025045081146,1386.0016028851935,2622.9136445602085,46.017647058823535,206075.76470588235,230051.58823529413,0,0,0,42.385263873019795,0,4.967706821480406,0,0,0.44230769230769235,0,0.42307692307692313,0,6.607039187227866,0,0,3.059143686502177,0,0,0,0,0.07692307692307693,0,3.234042553191489,0,61.66091004539419,201.59238643732823,8.893617021276595,122.74062779853625,0,28.971204026804187,25.029992588703948,62.051022141246946,0,3.3682487725040913,0,0,0,86.25036284470247,117.84013988821295,0,73.53981255597071,3.6382978723404253,6.433962264150943,0,0,0,0,0,0.17307692307692307,0,1.0079825834542815,12.223404255319148,0,37.33578575178334,0,6.079825834542816,13.01268412438625,5.25531914893617,0,7.680851063829786,0,0,5.849056603773585,5.849056603773585,0,18.34533551554828,9.004354136429606,12.23123243677238,0,0,822.6731386838774,3617.7178921038812,87.41748757063891,3530.3004045332427,2233.0933680625126,2429.748146663995,1422.627729913845,1231.4029120217397,1345.2734845443597,2576.6763965660994,0.5181781994079375,0.024163710432324875,0.6021420636521697,0.6551690064158286,0.383604200948549,0.616395799051451,2.2275007031511435e-4,0.25334889576366426,0.028649829866057134,9.630172212871485e-4,0.024163710432324875,0.5220964054070534,0.0877104112485725,0.38509793877202886,0.0067492078952512465,0.0032959776641755464,5506035.06870098
Acton 4,Acton,-,4,1745.6815059940059,3401.6400405150407,2184.856587856588,64.55555555555556,1.4285714285714284,847.0903749028748,0,21.694444444444443,117.97754329004329,164.03696303696304,1274.8687215562218,2413.697268009768,46.18636363636364,207453.45454545456,233267.5909090909,0,0,0,32.46228277468991,2.6391752577319587,2.2641509433962264,0,0,1.1546391752577319,0,0,16.577319587628864,5.4224858976852754,0,0,1.9099397004473837,0,0,0,0,0,0,3.574468085106383,2.1443298969072164,40.707156071134435,148.24759236343618,9.829787234042552,125.50840758690046,0,57.18132907332376,18.329031937655976,51.90193976666515,0,3.127659574468085,0,0,0,48.03676327562731,122.35008918705277,0,77.32047743008852,4.0212765957446805,3.1132075471698113,0,0,0,0,0,0,0,1.767554950398755,16.503838561087957,0,42.30068245684464,0,3.5724567204823963,17.974775169993418,5.808510638297872,0,8.48936170212766,0,0,6.2116319782143545,3.8198794008947674,1.8969072164948453,20.106382978723403,8.12157167866174,8.430349257326375,5.938144329896907,0,694.9797166707363,3208.285775182409,83.22223923650917,3125.0635359459,1977.312735875236,2222.2364579864584,1216.7834526584527,1045.2462183448042,1177.934171263973,2223.180389608777,0.5131881931074909,0.02593978375625766,0.5812821792795725,0.6532838370664259,0.3577049417827937,0.6422950582172062,0.018977773893377983,0.24902410743454714,0.04822290456462474,4.199654906329034e-4,0.02593978375625766,0.5298419223062952,0.08378414831835769,0.37178473415547514,0.0053882926233666945,0.004851729861043474,7203831.56276485
Acton 5,Acton,-,5,1663.0625,3274.125,2108,56,0,711.0625,0,64.5,264.5625,70,1327.4375,2355.3125,47.44230769230769,159622.82692307694,183512.28846153847,0,0,0,56.90001945146859,14.845360824742269,1.0566037735849056,0,0,6.494845360824742,0,0,93.24742268041237,14.44252091032873,0,0,3.4438825131297413,0,0,0,0,0,0,0,12.061855670103093,22.759968877650262,132.3005251896518,0,98.78467224275433,0,171.97471309083835,23.71095117681385,73.33028593658821,0,0,0,0,0,55.60066134993192,161.99961097062828,0,58.96868313557674,0,1.4528301886792452,0,0,0,0,0,0,0,8.48259093561564,19.948453608247423,0,47.24528301886792,0,5.496012448939895,23.195876288659793,0,0,0,0,0,20.341373273682162,6.8877650262594825,10.670103092783506,0,23.785255786811906,1.849056603773585,33.402061855670105,0,874.0513518770667,3434.674576930558,129.58976852752383,3305.0848084030345,1797.0625,2134.5,1166.125,1065.429488426376,1148.1966543474032,2213.626142773779,0.5079410529530791,0.03772985347663808,0.5488680181727943,0.6519299049364334,0.35616386057343563,0.6438361394265644,0.01710380636047799,0.21717634482495324,0.02137975795059749,0,0.03772985347663808,0.5186949287238982,0.12775372267861598,0.3615146741922084,0.007241919956267354,0.006092758709043614,7599082.5501881
