district,gender_female,total_population,race_white,race_black,race_native_american,race_asian,race_hawaiian,race_other,race_multiracial,race_hispanic,total_households,ed_25yrs_older_total,median_age,median_household_income,median_family_income,ancestry_afghan,ancestry_albanian,ancestry_alsatian,ancestry_american,ancestry_arab,ancestry_armenian,ancestry_assyrian,ancestry_australian,ancestry_austrian,ancestry_basque,ancestry_belgian,ancestry_brazilian,ancestry_british,ancestry_bulgarian,ancestry_cajun,ancestry_canadian,ancestry_carpatho_rusyn,ancestry_celtic,ancestry_croatian,ancestry_cypriot,ancestry_czech,ancestry_czechoslovakian,ancestry_danish,ancestry_dutch,ancestry_eastern_european,ancestry_english,ancestry_estonian,ancestry_european,ancestry_finnish,ancestry_french,ancestry_french_canadian,ancestry_german,ancestry_german_russian,ancestry_greek,ancestry_guyanese,ancestry_hungarian,ancestry_icelander,ancestry_iranian,ancestry_irish,ancestry_israeli,ancestry_italian,ancestry_latvian,ancestry_lithuanian,ancestry_luxembourger,ancestry_macedonian,ancestry_maltese,ancestry_new_zealander,ancestry_northern_european,ancestry_norwegian,ancestry_pennsylvania_german,ancestry_polish,ancestry_portuguese,ancestry_romanian,ancestry_russian,ancestry_scandinavian,ancestry_scotch_irish,ancestry_scottish,ancestry_serbian,ancestry_slavic,ancestry_slovak,ancestry_slovene,ancestry_soviet_union,ancestry_subsaharan_african,ancestry_swedish,ancestry_swiss,ancestry_turkish,ancestry_ukrainian,ancestry_welsh,ancestry_west_indian,ancestry_yugoslavian,ancestry_other,poverty_total,below_poverty_level,above_poverty_level,ed_college_degree,ed_some_college,race_minority,vote_male_eligible,vote_female_eligible,vote_eligible,gender_female_pct,below_poverty_pct,ed_college_degree_pct,ed_some_college_pct,race_minority_pct,race_white_pct,race_black_pct,race_asian_pct,race_hispanic_pct,race_native_pct,poverty_pct,vote_female_pct,wwc_pct,white_college_pct,ancestry_french_candadian_pct,ancestry_portuguese_pct,area_m2,very_low_density_pct,low_density_pct,medium_density_pct,high_density_pct,density_type
First,399786.2626262627,778194.5777777778,539390.3393939394,42108.69696969697,454,17635.61818181818,36,3162.59595959596,24978.7898989899,150428.53737373737,318185.1151515152,550510.5898989899,45.676162790697695,89437.67489492294,111245.96110992832,107,428.3405605499736,15,46056.21606983047,3406.2181824801573,631.4114832535886,0,22.371584699453553,142,33,77,738.7033685283624,1293.2460337450495,56,23,2322.564275755973,0,20,15,0,303.55756207674943,124,268.2295081967213,579.5515029107759,1307.237634831832,17726.54114589956,25,4368.565775853877,325.8261851015801,15075.397340692925,17006.96131922774,7133.752994106756,14,1881.2149853593094,66,166.84263989544968,24,215.95454545454544,32028.15498890694,41,23904.823280035856,26.32414307004471,901.2944208020328,18,0,0,0,364.6726862302483,489.7848834069578,38,21549.884926649927,6331.371165430239,699.7272727272727,3271.1101442093463,262.85829355240594,892.9496923614187,2889.884705072252,34,89.71106094808127,237.01918735891647,53.303030303030305,0,5008.136620641551,1504.1214730493614,105,1026,2573.1292154046105,269.63431151241537,5211.796547550625,212,139052.72246509042,754984.9047689737,103121.70651581447,651863.1982531591,178036.06868686868,328616.42626262625,238804.23838383838,289522.8019377517,314291.6436179333,603814.4455556851,0.5137356055189916,0.13658777263549374,0.22878091645828566,0.42228053965761037,0.30686957375849466,0.6931304262415052,0.054110756065588496,0.02266222187281062,0.1933045303442013,5.834016491048396e-4,0.13658777263549374,0.5205103089719781,0.3383696741855714,0.19183091388584314,0.021854381673787848,0.00813597440309875,5938246505.47,0.25961538461538464,0.3557692307692308,0.23076923076923078,0.15384615384615385,very low/low
Second,399477.2929198752,787062.3109565492,553677.7754752,37754.722474747476,455.3888888888889,56509.69213361234,149.69565217391306,9278.880510992276,37335.36613965744,91900.78968127703,302911.07012110186,539480.7782620457,43.80713515843932,111476.21941982882,133583.31646341464,90,4584.659439450026,9,23132.063611795165,5697.406817519843,1845.431590339485,15,95.62841530054645,345,0,87,11272.887879775573,1147.9957771370641,68.0561797752809,84.21621621621622,1425.3744477235016,0,31,35.45238095238095,65,219.44243792325057,65,185.19906323185012,1314.4484970892242,1840.7950029423785,21520.952487765077,18.61904761904762,8004.600181906613,1177.3871429061983,10511.183489860381,12955.50421420727,8363.354476539193,9,2786.354806525089,157,495.9382589809548,41,1044.0454545454545,38447.862780244344,176,24364.314825191625,83.6758569299553,2130.3471493395373,0,15,7,0,639.3273137697516,738.2151165930424,34,12583.829432003797,3564.1181262734335,576.2727272727273,2794.1658812407686,265.594087399975,1206.2865980964048,3359.6601760416584,121,82.28893905191873,219.98081264108353,33.696969696969695,0,14049.607122974383,3544.377687025425,434,356.35714285714283,977.8707845953896,200.42186826286556,3804.1914042566027,215,115679.1204432719,748094.4880868291,80040.28724721521,668054.2008396141,251291.67863062106,377481.78485940467,233384.5354813494,281952.22936705605,299975.4592871235,581927.6886541796,0.5075548496717801,0.106992216253203,0.3192779976025226,0.47960851333439597,0.296526122814479,0.7034738771855212,0.04796916578162993,0.07179824436636253,0.11676431256069957,5.785931844906105e-4,0.106992216253203,0.5154857985549285,0.2658690649129654,0.24843411389779804,0.016460582642385597,0.004528381141693615,4826665115.56,0.19298245614035087,0.4824561403508772,0.17982456140350878,0.14473684210526316,very low/low
Third,397139.94172276976,785634.8852254017,466254.07027172856,32100.68762077295,337.6111111111111,64993.722282608695,85.30434782608695,6839.682539682539,35469.86337129054,179553.94368038114,293655.69730461686,543440.3901382986,41.32287387466132,121350.3373109856,141198.76672272047,59,535.8450704225352,0,17546.016753491167,6150.241986772506,1431.5114446865346,0,54,148,30,45,11936.288571656436,875.3964205275166,209.46478873239437,62.78378378378378,1571.5411185772853,0,0,115,0,161,13,148.57142857142856,346,1173.4154129986,16438.04587949151,53.38095238095238,5743.577163231158,1325.4022418156567,12230.630049523916,13842.59106158948,6252.838905257612,54,3916.30538712317,14,431,0,586.8823529411765,40566.77615924214,72,23462.51317563973,67,1117.3584298584299,0,128.16216216216216,36,13,576,733,0,5678.409364071825,9368.593917818185,227.71830985915494,2407.5591279951896,349.5,1087.7598034759585,2672.581155581916,47,88,142,1,0,11423.321383150505,1359.6778632886362,95,455,794.0298507462687,215,4413.399361735823,61,181470.8747488642,766788.9362987615,79035.85513687685,687753.0811618847,217513.76801661498,342887.4803837744,319380.81495367305,267491.2147116616,278907.39116612304,546398.6058777847,0.5055019185010207,0.1030738074004792,0.27686368325435223,0.43644635292054096,0.4065257551057467,0.5934742448942532,0.040859549676900024,0.08272764296096875,0.22854629683210467,4.297302951538985e-4,0.1030738074004792,0.5104467474218034,0.24370406789432603,0.20356396238145874,0.017619623723325355,0.011924870056057017,2017744213.64,0.08695652173913043,0.48792270531400966,0.15942028985507245,0.26570048309178745,low/high
Fourth,404002.3747200874,786119.1535958906,599086.4360844799,26963.358968586563,408.3152173913044,53558.41036238954,81,8969.882560334543,44810.27981206041,52241.47059064819,303388.168519742,549770.4273811302,43.10653182733558,140795.8755216839,162905.8375337115,158.21951219512195,1087.3754385964912,0,21249.387446228076,4806.8158470757335,1069.4293376147525,0,127.61333333333333,319.7043871922758,38,176.9268292682927,9576.57154657706,1488.0486627377975,458.38462592491095,0,1547.935310025063,0,38,205.8608360169734,20.528089887640448,163.6430948372772,79.52631578947368,364.8002489292208,755.26681831732,5220.812295180464,20665.64887853505,10,7921.969692851588,285.96298330094896,9616.452692702562,10563.878675158978,7207.939804491041,0,2332.7701186851764,44.23684210526316,468.20927763443416,45,950.5716822942603,46374.95896071808,1047.6405560123017,27058.16741640109,281,1000.9123023993675,20,24.296296296296298,15,0.06315789473684211,548.8461538461538,593.2401165210154,0,6983.77536628719,47941.91843417748,1440.944568273398,5464.314413548585,354.02990816610185,1157.5375231932621,3376.356881945619,277.4524527267745,108,254.59748427672957,10.719298245614036,0,9610.337654442028,2289.2961809493027,156.31432564640113,541.1176427346238,2004.7285285641642,189.32007520925586,6496.125505439938,69.0377358490566,98408.14420593936,768142.5214682017,59552.79927752486,708589.7221906768,274256.5624838638,387695.99452458345,187032.71751141053,275667.69856752834,299693.31793281215,575361.0165003405,0.5139200245561849,0.07752832008791499,0.34887403675301754,0.4931771382889889,0.23791904402262642,0.7620809559773734,0.034299328346408975,0.06813014301636208,0.06645490108170451,5.194062700591587e-4,0.07752832008791499,0.5208787341132535,0.28025837636481754,0.2810946506922783,0.013438012070864012,0.060985562067633226,1838258985.33,0.05485232067510549,0.46835443037974683,0.189873417721519,0.2869198312236287,low/high
Fifth,398969.588419455,776383.5888131731,486334.33126177,37120.517100705554,671.6533613445378,105862.64675495352,383,11803.17059731189,47328.58106214501,86879.68867494284,304672.49125656177,551931.8816063921,42.324583461105995,157734.98096418113,184029.04842105263,77.11929824561403,1874.17765980266,12.80451127819549,15437.46823819393,7311.786119444948,4803.87706199617,12.91891891891892,67.38666666666667,429.65656939520034,81.17959895379249,59.08571428571428,20878.554090324065,1179.3143133517729,807.8494382022471,0,1812.5462861675933,8,73,130.24902621722848,13.47191011235955,282.11553432901746,25.774436090225564,682.9021983264898,933.638098450452,3930.607604120534,15326.285164195151,92,8817.865447404629,433.91708733399923,2843.81362485246,4009.312896406243,7489.868286328497,26.42857142857143,4827.859021797358,107.75970331233489,630.6446013911183,49,2342.759397211238,41833.871837942,833.2361550197403,40715.873924998,59,765.8246777227107,0,301,38,60,729.3290700818694,740.4803818104418,74.28301886792453,5207.6964623587355,3638.891200132222,752.2349357364681,5617.914961371473,340.86345816726447,1096.9648556140692,2619.3867934773093,382.68277506889973,93.53488372093022,234.40251572327043,49,35,8212.692303413749,1687.0124957379549,318.7737766311006,1042.1883284986773,1569.0721632850198,298.4144417041557,10313.246439939277,811.4441017577809,152648.63438251466,746264.2181236334,57370.336851743705,688893.8812718899,339122.5288354528,423856.1872139615,290049.25755140337,254913.7526263728,277818.2216792469,532731.9743056197,0.5138820476993132,0.07687670862203817,0.436797652245401,0.5459365619279687,0.3735901450400184,0.6264098549599819,0.04781208366015338,0.13635353487672447,0.1119030462863755,8.6510504732753e-4,0.07687670862203817,0.5214971788418825,0.16268789557382252,0.3072231559115849,0.005164087641954309,0.0046869759389103665,592929497.556,0.036734693877551024,0.19183673469387755,0.23673469387755103,0.5346938775510204,high
Sixth,399442.8135798513,778163.1875652224,586577.084501585,24443.612762665332,300.475,37555.40096909471,182,6613.094351408825,30061.217246882676,92430.30273358592,302152.9164575969,558538.8531889642,45.41664398211159,138829.28385416666,165492.72686044115,107.94736842105263,2489.3082656161623,0.19548872180451127,17868.61006587327,4320.947996595196,1989.051991210697,0,123,254.28929209372853,0,77.73584905660377,6050.477273789987,1241.0862528496502,182.4127622880138,0,2277.2605500423338,27,86,45,16,201.45401261341524,83.85348843807633,445.99792224509775,509.2675964157434,1473.1458288768367,21484.46370975973,11,7750.017883141893,423.22356089108797,5514.328806039698,8448.49294092723,6294.789869635306,0,6210.328927816722,3.8611233967271117,451.87873706228135,0,731.8831146701896,53866.39584929595,45.26007853209926,44992.0207535924,47.26027397260274,738.353796881598,0,26.594594594594597,26,0,508.84365360055017,1049.6003397856593,21,6481.272056339041,8085.460466692574,727.4353555543789,4093.0359648373997,623.5297384073555,1601.2562465076699,4448.0851240827315,194,67.63265306122449,373,43.56603773584906,0,7486.000994526627,1566.0324119550744,303.7143220639247,370.9949628820374,1399.9325628769384,460.8887541108484,5749.219953197832,378.02952739328344,105396.7478467608,762355.394154445,54522.065424876746,707833.3287295683,278828.66175023036,399650.2893023932,191586.10306363745,277773.74463253847,302516.4635399032,580290.2081724417,0.5133149703851438,0.07151791125627054,0.3583164382559026,0.5135815927670007,0.24620298945660354,0.7537970105433965,0.031411936664784174,0.04826160061182151,0.11878010192539312,3.861336603960277e-4,0.07151791125627054,0.521319262809284,0.267253083878971,0.3017232806986688,0.010856968147467285,0.010390443284770375,1431739399.32,0.024154589371980676,0.463768115942029,0.27053140096618356,0.24154589371980675,low/medium
Seventh,394394.4104846993,769738.9970705105,294709.95812894194,154531.10932266345,737.37441643324,85655.23310796758,424,10363.674148688804,48962.13993672048,174355.508009095,306440.64357451216,527980.3147775084,36.365627435697576,113188.8915529325,142569.17046621483,155.2821780059906,1141.1934737833478,10,9107.272443969132,6813.120561661336,582.0899363811307,8.08108108108108,131.0721649484536,147.36960185992444,9.820401046207499,405.82095238095235,9464.460637367667,783.288277281001,524.7936392160058,17,1013.0845363296506,0,0,90.91265877420152,63,399.86098656915556,29.11111111111111,118.75860848441494,967.7660712113482,2459.7539561835038,6939.194563669358,80,5057.664725037335,243.7279138311747,2206.9554720586484,2122.547453176474,5692.195509042386,0.5714285714285714,1926.6186418455004,580.7642123525452,517.6251600419149,4,1120.0386246649405,22464.994131078034,275.5981482550124,19721.354494918527,93.375,245.286176558951,0,37.7037037037037,16.772727272727273,8,486.90208269284994,486.65572810572803,12,3187.9435467779394,5016.485390607949,422.0962030364618,3241.917944498027,185.29642609642607,540.8874264668862,1254.3656600409183,152,76.46511627906976,94.45454545454545,36.87323943661972,5.296296296296296,25616.01647856478,677.316679300219,366.1638961712513,993.5580264788788,1086.752110375501,147.46311281789775,40879.67947361158,327.97228116710875,235124.6081719116,715323.6341348258,119399.69116273815,595923.9429720874,262475.69810414047,351527.26004532934,475029.0389415686,248406.87633909774,279057.73463963857,527464.6109787363,0.5123742099408944,0.16691702254064408,0.34099311468312793,0.4566837088716818,0.6171300151732528,0.38286998482674717,0.20075780220409947,0.11127828190328948,0.22651250446276075,9.579538249192981e-4,0.16691702254064408,0.5290548954968436,0.08453266633451795,0.19695556801644756,0.002757489826102759,0.006517125168011233,162038561.293,0.042483660130718956,0.03594771241830065,0.0718954248366013,0.8496732026143791,high
Eighth,397444.4692403069,776520.8740445727,505283.30539828085,74706.20292854372,644.6570048309178,76065.77757891912,174,15743.125341815929,47753.78774131302,56150.01805086903,320571.91848092456,568263.6344904483,42.074335443037995,134592.20313020312,163378.98975362652,12.365853658536587,4487.447636037612,0,17010.335934862487,5217.207398815282,915.1991530680986,0,141.56366551633423,201.35467836257308,0,154.91650406504064,6818.497161989366,962.5406969805338,459.32301411301535,0,963.8544654751964,0,45,196.19327731092437,10,327.85828068883467,81.3625730994152,139.30555555555554,483.6495651683697,1879.5360297955324,13833.753781123814,46,6210.385201494561,286.2294688083243,2757.3810839598723,3710.8505627874288,7355.90398648301,69,4181.071085754905,142.48671797418072,498.2982525288892,16,902.8713112910481,80935.67090914486,128.90975609756097,25269.64156798537,442.5716101694915,1359.4894311325102,0,270.4943820224719,0,28.874342105263157,553.7004445683544,727.3166027386958,30,5046.849532816899,5374.872485250186,255.22013264869491,3503.1759513585357,229.42239728143343,1370.3891569270606,3027.9728722213267,98.95691056910569,9,133.32649572649572,46.80020387359836,5.703703703703703,27971.80469257794,2081.9036450690323,163.61311311311312,878.9938289714147,677.9441855539624,163.22632944582526,20649.32716165222,45.89473684210526,123244.69825620968,766802.2480793118,66341.95706157852,700460.2910177336,300347.8039176946,412380.6762868158,271237.56864629174,276010.63641788653,300183.7136429246,576194.3500608111,0.5118271543302947,0.08651768722346866,0.38678651657270774,0.5310619328736099,0.3492984898571092,0.6507015101428907,0.09620630355940121,0.09795715752330555,0.07230973426175533,8.301863174304239e-4,0.08651768722346866,0.5209764962312515,0.2133395042803509,0.2885175138177459,0.004778816238975211,0.00692173599565292,779437227.624,0.05204460966542751,0.29739776951672864,0.2342007434944238,0.4163568773234201,low/high
Ninth,394356.4777945722,773567.4067430826,635463.553186155,19210.30606178018,1347.260466999278,11253.809855936284,147.60606060606062,14482.912334732791,41822.26482506557,49839.693951807836,318129.87908953935,571838.2507990594,50.34895253876201,108986.6655105973,137693.78875781602,0,262.88118039092143,0,20630.020547435204,2306.591675381951,585.2065112913224,22.92857142857143,52.305299076676036,200.45851886945397,0,77.512429494302907,9925.591467683716,1228.4703690500992,145.18346431935194,0,1390.470149445818,0,49.34341085271318,106.8032634032634,0,182.50679056307573,95.97742026789761,421.77897664928844,800.6781076643923,1412.9730127889468,31974.184049159627,0,5790.9800138761,486.0774067089268,7259.869214865744,7782.126514769421,9337.744755741098,0,2270.4001990940224,4,285.3399814712392,14.791666666666668,107.39500891265597,71203.70708911507,49.734525939177104,26701.092815559994,98.14813769300416,1477.887015139307,0,47.26717557251908,35.994758909853246,40.81954887218045,655.7871205267626,1602.3429323982166,77.15738916256157,5984.2646557262,43788.32508687912,224.9382768031189,1601.6737944374452,359.7229806722494,1827.263072951283,5803.530826832992,826.7985581829631,36.07700421940928,203.7161686818413,2.280701754385965,0,13520.005066767311,3346.989934033452,169.94743609706958,179.632913016594,691.030261750449,285.05995728480787,5703.975945367409,0,53985.45764843173,755598.207410622,61890.125210640246,693708.082199982,242783.65796282497,387927.48607436864,138103.853556928,291241.5424090204,313148.1268334375,604389.669242458,0.5097894176474087,0.08190877718295948,0.3138493890080071,0.5014785818182839,0.1785285320362458,0.8214714679637548,0.02483339641035356,0.01454793694491048,0.06442837885536795,0.0017416200000871164,0.08190877718295948,0.5181228978085237,0.3490528780269335,0.284704056290951,0.01006004964394011,0.05660570068643302,3376783427.8,0.13658536585365855,0.6536585365853659,0.1024390243902439,0.1073170731707317,low
