district,gender_female,total_population,race_white,race_black,race_native_american,race_asian,race_hawaiian,race_other,race_multiracial,race_hispanic,total_households,ed_25yrs_older_total,median_age,median_household_income,median_family_income,ancestry_afghan,ancestry_albanian,ancestry_alsatian,ancestry_american,ancestry_arab,ancestry_armenian,ancestry_assyrian,ancestry_australian,ancestry_austrian,ancestry_basque,ancestry_belgian,ancestry_brazilian,ancestry_british,ancestry_bulgarian,ancestry_cajun,ancestry_canadian,ancestry_carpatho_rusyn,ancestry_celtic,ancestry_croatian,ancestry_cypriot,ancestry_czech,ancestry_czechoslovakian,ancestry_danish,ancestry_dutch,ancestry_eastern_european,ancestry_english,ancestry_estonian,ancestry_european,ancestry_finnish,ancestry_french,ancestry_french_canadian,ancestry_german,ancestry_german_russian,ancestry_greek,ancestry_guyanese,ancestry_hungarian,ancestry_icelander,ancestry_iranian,ancestry_irish,ancestry_israeli,ancestry_italian,ancestry_latvian,ancestry_lithuanian,ancestry_luxembourger,ancestry_macedonian,ancestry_maltese,ancestry_new_zealander,ancestry_northern_european,ancestry_norwegian,ancestry_pennsylvania_german,ancestry_polish,ancestry_portuguese,ancestry_romanian,ancestry_russian,ancestry_scandinavian,ancestry_scotch_irish,ancestry_scottish,ancestry_serbian,ancestry_slavic,ancestry_slovak,ancestry_slovene,ancestry_soviet_union,ancestry_subsaharan_african,ancestry_swedish,ancestry_swiss,ancestry_turkish,ancestry_ukrainian,ancestry_welsh,ancestry_west_indian,ancestry_yugoslavian,ancestry_other,poverty_total,below_poverty_level,above_poverty_level,ed_college_degree,ed_some_college,race_minority,vote_male_eligible,vote_female_eligible,vote_eligible,gender_female_pct,below_poverty_pct,ed_college_degree_pct,ed_some_college_pct,race_minority_pct,race_white_pct,race_black_pct,race_asian_pct,race_hispanic_pct,race_native_pct,poverty_pct,vote_female_pct,wwc_pct,white_college_pct,ancestry_french_candadian_pct,ancestry_portuguese_pct,area_m2,very_low_density_pct,low_density_pct,medium_density_pct,high_density_pct,density_type
First,449686.3364671952,878837.5834513492,700087.545244253,27261.29471414952,1470.8560782845443,13274.010798914022,129,16671.580595796935,53516.46131097674,66426.83470897481,367221.09518146806,652831.7146140082,49.574814736396384,102723.91553492636,129332.32370211034,0,420.09725293626224,0,22370.53672727344,2463.6940310828795,551.5706473270491,22.92857142857143,45.305299076676036,144.71837685031227,0,63.78166026353368,12659.86826059266,1226.3040834106441,167.2851592346062,0,1391.2152548676058,0,23.166666666666668,197.78787878787878,0,162.94712262810512,106.97742026789761,397.6425160949175,826.2270522082206,1476.262790288346,34419.83667093483,0,5702.149877418945,385.32426244711684,11014.151113829595,10738.506123111285,8904.029912223614,0,2329.4263592790594,4,228.21023788149552,0,96.39500891265597,59578.430645113185,21.746153846153845,24829.68502725931,88.48712074385162,1247.4503133880446,0,47.26717557251908,35.994758909853246,28.81954887218045,664.0357133973066,1317.1666366646416,77.15738916256157,7476.3676993384315,85098.45322580049,354.3456842105263,1599.9320905315983,267.49175311852554,1581.975111952518,5058.384797141177,786.7985581829631,26.583333333333336,168.678193998297,13,0,17315.377108261207,3191.2389025435423,113.49042537602693,192.92457968326067,730.9131044504194,270.1331280165152,7599.684501866932,0,70628.69793009071,864637.2345504693,84628.50024628139,780008.7343041879,237550.72121370267,409228.55491378997,178750.03820709657,326308.16126945295,353572.3781470725,679880.5394165255,0.5116830970077522,0.09787746451872421,0.270301049575963,0.465647535585219,0.2033937118450418,0.7966062881549587,0.031019718805253685,0.015104054547581654,0.07558488162068012,0.0016736381169638135,0.09787746451872421,0.52005074075294,0.38213351608076557,0.24178870454660661,0.012218988269640551,0.09683069412166462,3709349872.07,0.12162162162162163,0.5675675675675675,0.1036036036036036,0.2072072072072072,low
Second,447709.7960963376,878989.6748260162,582579.5403781802,85207.52593207028,562,60517.15926559035,232.5483870967742,19718.02908879611,62789.014244838756,67383.85752944383,321851.7133475919,608114.3533436549,42.16948989412893,141733.94861047837,162627.63813979086,112,890.4701673971024,9,23234.007216267895,4616.393452335753,1188.0629872848167,0,141.32773109243698,188.75645361269338,38,156.3181818181818,21106.635016689077,1200.4330495320378,391.594099378882,0,1614.9346544281764,0,85,91.65546218487395,45,270.0894117647059,124,173,885.8294828603739,3226.6572969729095,20012.046942382498,21,8110.616487418008,477.7186305267055,5089.544074065656,7385.073341007526,7368.4165351388965,9,3477.244085857367,128,480.2145319293834,23,538.9773000125554,67535.97280829742,470.9751461988304,32198.570802936494,195.24137931034483,1272.4795527341687,20,27,0,20.063157894736843,351.5121476254684,741.4566819861416,15,5855.619217715436,10074.983245219337,957.5812807881773,5615.556825999119,389.83076923076925,1253.2647405469907,3875.726505634822,72,16,263.96930279494114,0,35,27953.288343769287,3164.0586607516548,117.8108108108108,388.6700985124126,1434.2708968537086,206.0220922677063,24698.544483051177,51,121820.90376525879,858093.6090872793,58748.65039097523,799344.9586963039,299650.3475880786,429187.3388488597,296410.13444783614,301850.2904699824,320953.91606023733,622804.2065302198,0.5093459103316038,0.0684641509607138,0.340903148432762,0.4882734702586938,0.33721685582541844,0.6627831441745817,0.09693802825264805,0.06884854395766239,0.07666057913909118,6.39370422765478e-4,0.0684641509607138,0.5153367827239683,0.22808605066369259,0.25656949811499025,0.008401774847320362,0.011462004086923478,1721741554.83,0.027888446215139442,0.5776892430278885,0.26693227091633465,0.12749003984063745,low
Third,458167.0894967832,886239.2901317046,597003.7210725803,30472.333939650525,631.5,129558.66088683753,405.4516129032258,9961.45238095238,51165.22206421162,67040.94817456909,344329.2579481866,611257.1953589203,42.80786007885243,170180.13960165082,198246.40059002323,116.87272727272727,1694.3096278477258,13,18591.46896014436,6796.416709570893,6059.748956043447,9.135135135135135,103.04166666666667,547.2152858711513,25.949324324324323,260.32303921568626,11288.26344453635,1787.3858585951305,787.9725490196079,28,2183.954389719889,8,61,200,66,261.90076252723316,26,819.92086645469,1215.439124382816,7181.98413115721,20792.821060267415,156,11232.158987539526,546.1176470588235,4274.429673726948,5857.094070580482,10690.774794511675,27,5486.7645004707865,74,1152.4626524183764,95.76594724220624,3280.5527626903704,45571.485224349184,1344.8813452349523,33677.75348782567,221.75862068965517,1368.976921197998,0,304.3777777777778,36,76.44242424242424,1320.19563800597,972.3003079883154,10,7311.339572507087,5398.800080223642,1120.4626653160628,8655.344606628092,449.7725760725761,1672.100814802703,3893.6643304594454,256.56388888888887,187.53488372093022,341.08248291934456,18.61904761904762,0,7874.851283892988,1751.1325824603891,459.7703488372093,1728.6373583580882,2694.0795561812633,398.59682014920884,5369.1389056517255,151.29090909090908,168263.66365075528,835608.8589128631,62493.348628624364,773115.5102842387,419251.98707382707,507957.9521002964,289235.56905912433,302431.4593974463,334719.10415429773,637150.563551744,0.516978985922295,0.07478780049068526,0.4730686077024657,0.5731611741393325,0.3263628370799729,0.6736371629200272,0.03438386706497972,0.1461892542222809,0.07564655383830488,7.125615023298643e-4,0.07478780049068526,0.5253375313496285,0.1499861208128478,0.34089191410370656,0.006608930720855374,0.006091808544644102,1160392311.24,0.040293040293040296,0.326007326007326,0.2454212454212454,0.3882783882783883,low/high
Fourth,459412.51281952224,890555.5092431037,504490.47936942056,134291.51959664357,999.4043887147336,84172.50158885198,283.77272727272725,9928.508712225652,45326.83998522828,111062.4828747462,366006.3220615303,645360.5777798943,42.176201995766554,132582.47913207128,163773.43403663344,139,4518.005618008614,0,16310.841686789705,5953.442982130988,920.2740938418467,7,143.75139834142303,245.14815371504812,0,208.06258741258742,4334.789399606993,1023.5075937332228,470.1849716802649,6,1120.2145544271864,0,36.17674418604651,172.55319974143504,0,385.6183422964466,22,145.60074626865674,769.3362592746281,1904.9776348735854,14561.046099126263,16,6308.265289997621,201.78323732452574,2798.291460027303,3564.776108145934,7900.046202371844,69,3800.9332719657273,638.2850697292863,581.1853145817227,19.258333333333333,833.137203519479,81392.90814172536,113.18837209302326,25865.140644611587,443.6076271186441,1090.2478486772534,0,274.8943820224719,7,23.80767543859649,564.9350834425255,1023.0699057097524,15,4853.838657003705,3109.1960410309375,273.32619047619045,3120.7318007678537,274.92644534797785,1429.3612702656849,3450.9090690301796,192.56666666666666,79.49367088607595,92.65018469575432,46.57798165137615,0,25854.619290053797,1665.4115520900627,261.0795332435652,561.6969962408513,707.3200734101442,147.64340261655695,35527.45535892625,46.26315789473684,185891.49666321976,871130.8510498513,101460.1373482042,769670.7137016475,331985.8538460435,459473.5686063015,386065.0298736832,309432.26544472243,343455.1374027349,652887.4028474573,0.5158718440919913,0.11646945717274114,0.37278513287532544,0.5159404033071615,0.4335103492895188,0.5664896507104813,0.15079522635347,0.09451685011795777,0.12471146573349465,0.0011222258223568143,0.11646945717274114,0.5260556964413983,0.16442566619221435,0.267519483370193,0.004002867952808118,0.0034912995414216113,773915799.603,0.05517241379310345,0.2517241379310345,0.1724137931034483,0.5206896551724138,high
Fifth,448404.00398166094,874162.4515334175,579650.0157577755,30733.416200790864,179.475,52353.20100710134,92,6206.1435577580305,32358.586236652493,172589.61377333946,333424.46927537455,612255.6151269258,43.13167397472274,122387.13367084111,145036.56131989,43,1805.1533360386977,0,17994.741589833804,5866.4015898324205,1079.6974076226898,0,75,218.87994968836824,16,55.735849056603776,8353.458416040492,1057.2069616975123,81.72237860661505,0,2160.503799694905,12,55,68,16,244.45401261341524,83.62792452830189,420.5832666944176,255.36753156378768,1081.5354862664644,20320.34161692933,27,8151.688001160404,389.2404158413282,10680.082183106268,12162.794989806267,6388.815386023353,54,6299.28865107081,14.823529411764707,319.83499633770697,0,489.27649661261455,55173.03840217734,40.644693916714644,40263.02689007117,36.26027397260274,1087.6016517903338,0,36.75675675675676,26,0,396.53596129285785,1169.8131692876261,11,6848.216261351058,11658.915544820453,299.6875,2864.3767853531267,633.4474599263427,1726.8422902160248,4078.034822293322,0,38.63265306122449,313,21,0,11642.685398031408,1353.5306671155693,156.566005847063,434.28798613785136,866.2354565369051,459.86810121278046,5332.418602550866,218.91195163570768,173088.5115860043,853038.1702835368,81358.79422335727,771679.3760601796,260446.72929225783,401987.049720332,294512.43577564217,302953.6490585025,330550.7010705831,633504.3501290856,0.5129527162772667,0.09537532675274643,0.2979385912028063,0.4598539424968254,0.3369081287568705,0.6630918712431297,0.03515755698140506,0.05988955590035428,0.19743425660824293,2.053108088607247e-4,0.09537532675274643,0.5217812648061985,0.2593663235241188,0.24024972826227928,0.01391365525763641,0.013337241292358068,1602191682.69,0.023255813953488372,0.46511627906976744,0.20465116279069767,0.30697674418604654,low/high
Sixth,454445.04637772345,902041.193502112,505337.0279992743,56659.402931335026,513.5,95600.86723224356,252.83333333333334,12510.304009034444,45843.70350565003,185323.55449124114,363394.52572404896,645758.8419313726,39.60446720418392,134895.4238203866,164726.37258883248,133.0614832535885,2331.034185835962,10,15356.505509170665,10389.014558761928,1529.854417721931,4.864864864864865,189.51503436426117,339.1148280355828,79.05067567567568,274.7769607843137,17367.707299798847,1260.5492566919377,806.7087546512444,11,1526.182817955456,15,31,80.47490196078432,31,311.3436819172113,33,328.7961146773855,1132.0668069377991,2700.0519515290985,13488.667109530737,68,7070.572405395245,381.6874445582208,3678.609526484918,4547.238952644549,7138.856559494562,0,3868.3144336997498,46,453.8691758575965,0.7673860911270983,1588.0627202378337,43040.51829007681,537.9435085662171,47914.04153569949,101,555.9849169246957,0,90.22222222222223,47.77272727272727,1.624242424242424,549.1939815524121,613.0272606858467,86.28301886792453,5086.1000848484555,6531.033121167147,1013.2593274308792,3983.0490688693862,336.41780476359776,803.7501478100912,2057.4896974757457,612.9615828092244,68.46511627906978,258.1170454545454,90.04245177564337,11,11979.604153777995,1389.69290384296,502.80974560818515,1088.7809067208086,1699.670575719863,244.3792098286195,15289.345478724457,1262.9123643879816,218482.75498582143,869330.9383324871,93909.09019516877,775421.8481373186,340814.15504604415,444034.57300248387,396704.1655028375,295135.217475498,315300.7352694448,610435.9527449429,0.5037963339715921,0.10802455779993418,0.3778254890143731,0.492255316277243,0.4397849769617076,0.5602150230382923,0.06281243399911578,0.10598281754858652,0.20544910346248754,5.692644678524848e-4,0.10802455779993418,0.5165173084115284,0.16545954559914564,0.26402231998768927,0.005041054649611079,0.007240282559392734,316275072.593,0.022641509433962263,0.0830188679245283,0.15849056603773584,0.7358490566037735,high
Seventh,436371.5256107317,865058.5589526488,613090.4783549472,40843.32777382927,508,49211.49457474532,194,8779,37849.34646848573,114582.91178064131,335121.85163760214,607506.8985555315,42.92729608220934,113549.95412707838,133871.62582605393,114,4811,0,31394.7585954534,6623.968153165309,1909.888888888889,11,80,300.9238095238095,0,57,10755.310160427807,1099.037747653806,114,106,1903.6889136037512,0,13,96,30,227,96,190,850.0875912408759,1198.696375519905,20804.083600832397,23,6516.263305322129,1888.8823529411766,16349.505646800777,20032.43927719695,7936.503889736087,0,3166.6910020925366,146,466,6,700,42685.311423824416,126,28635.05124439072,69,2248,18,0,22,0,464,759.2224288925056,8,12942.840697655542,5003.993923245573,622.9251336898396,2498.6219302169384,395.93048128342247,1079.9333333333334,3880.0193495052827,179,96,201,34,0,15560.733809413094,4105.183598498688,343,341.8449197860963,1011.4541062801933,134.44963703531477,4108.666666666667,178,121234.60615196447,839073.1880525409,83936.25242350504,755136.9356290359,247360.76230167312,398551.09561028535,251968.0805977016,313346.27634866635,324850.9764571494,638197.2528058158,0.5044416023570233,0.1000344828301785,0.2859468411030577,0.460721521665334,0.29127286007408165,0.7087271399259183,0.047214523630954484,0.05688805002325748,0.1324568268758246,5.872434816609989e-4,0.1000344828301785,0.509013435938421,0.30520721797774475,0.22445406021995562,0.023157321628550557,0.005784572467907897,4019074291.35,0.1810344827586207,0.47413793103448276,0.1810344827586207,0.16379310344827586,very low/low
Eighth,430775.22065792495,835422.6201518289,584524.7455256499,43412.49312169312,492,24402.41587301587,73,3482,29673.11621808144,149362.84941338853,338725.8647803083,578615.6238325281,45.87405703771848,88108.00500287522,110188.83606557376,109,420,15,42779.48204625783,3321.0051088667774,614.1111111111111,4,37,203.07619047619048,33,85,796,1544.962252346194,92,36,2423.9367548454466,0,38,34,0,378,106,300,755.9124087591241,1928.111111111111,21510.226559595412,25,6573.619047619048,717,14131.398096514733,16154.245214781657,8800.945308124876,14,1904.2608695652175,69,264,49,476,32743.496062806596,14,22803.959450796443,43,866,0,70,0,0,753,564.5797101449275,64,22329.603152611835,6234.465969802555,685,3657.2550751306553,223,1234.0666666666666,3157.5956237567493,34,138,254,54,0,4716.506832298137,1436.47950310559,158,1107,2630.5458937198073,368.3364592213697,5286.098039215686,212,145573.80026514785,793358.5071346249,114732.19677435592,678626.3103602688,207579.37202668507,361576.3521509087,250897.87462617896,311496.2263251305,342149.5262166474,653645.7525417779,0.5156374872631966,0.14461582719864505,0.24847229057427223,0.4328065142468804,0.3003244927466544,0.6996755072533455,0.05196470872886274,0.02920966620293451,0.17878717407273875,5.889234839135483e-4,0.14461582719864505,0.5234479454446984,0.3156404766089882,0.20851207465398106,0.019336614576997927,0.00746264922617191,7660902349.23,0.29357798165137616,0.3348623853211009,0.22018348623853212,0.15137614678899083,very low/low
