office,district_id,district,legislator,party,city_town,percent,PVI,PVI_N
State Representative,58777,Second Hampden,Brian M. Ashe (D-Longmeadow),Democratic,Longmeadow,1,D+5,5.284261962616177
State Representative,58778,Third Hampden,Nicholas A. Boldyga (R-Southwick),Republican,Southwick,1,R+6,-5.614496466112351
State Representative,58779,Fourth Hampden,Kelly W. Pease (R-Westfield),Republican,Westfield,0.5883104439476206,EVEN,-0.3976457315406523
State Representative,58780,Fifth Hampden,Patricia A. Duffy (D-Holyoke),Democratic,Holyoke,1,D+16,15.997787095997584
State Representative,58781,Sixth Hampden,Michael J. Finn (D-West Springfield),Democratic,West Springfield,1,D+1,1.4296139833125832
State Representative,58782,Seventh Hampden,Aaron L. Saunders (D-Belchertown),Democratic,Belchertown,1,D+7,7.170917300545321
State Representative,58783,Eighth Hampden,Shirley B. Arriaga (D-Chicopee),Democratic,Chicopee,1,D+4,4.207007404892183
State Representative,58784,Ninth Hampden,Orlando Ramos (D-Springfield),Democratic,Springfield,1,D+18,17.86151088923692
State Representative,58785,Tenth Hampden,Carlos Gonzalez (D-Springfield),Democratic,Springfield,1,D+24,23.95171648675214
State Representative,58786,Eleventh Hampden,Bud L. Williams (D-Springfield),Democratic,Springfield,1,D+26,25.612769986504254
State Representative,58787,Twelfth Hampden,"Angelo J. Puppolo, Jr. (D-Springfield)",Democratic,Springfield,1,D+6,6.365518143554672
State Representative,58788,First Hampshire,Lindsay N. Sabadosa (D-Northampton),Democratic,Northampton,1,D+32,31.818311968329883
State Representative,58789,Second Hampshire,Homar Gomez (D-Easthampton),Democratic,Easthampton,1,D+18,18.034318353177923
State Representative,58790,Third Hampshire,Mindy Domb (D-Amherst),Democratic,Amherst,1,D+36,35.50821563275488
State Representative,58791,First Middlesex,Margaret R. Scarsdale (D-Pepperell),Democratic,Pepperell,0.5134960952308742,D+5,4.865775599005251
State Representative,58792,Second Middlesex,James Arciero (D-Westford),Democratic,Westford,1,D+17,16.615547337379365
State Representative,58793,Third Middlesex,Kate Hogan (D-Stow),Democratic,Stow,1,D+18,18.232780959673367
State Representative,58794,Fourth Middlesex,Danielle W. Gregoire (D-Marlborough),Democratic,Marlborough,1,D+15,15.430600534800288
State Representative,58795,Fifth Middlesex,David Paul Linsky (D-Natick),Democratic,Natick,1,D+26,25.65454609305861
State Representative,58796,Sixth Middlesex,Priscila S. Sousa (D-Framingham),Democratic,Framingham,1,D+23,22.50032190825575
State Representative,58797,Seventh Middlesex,Jack Patrick Lewis (D-Framingham),Democratic,Framingham,1,D+21,21.42334356628407
State Representative,58798,Eighth Middlesex,James Arena-DeRosa (D-Holliston),Democratic,Holliston,1,D+19,19.294087820784167
State Representative,58799,Ninth Middlesex,Thomas M. Stanley (D-Waltham),Democratic,Waltham,0.7273267433695241,D+19,18.915887024687297
State Representative,58800,Tenth Middlesex,"John J. Lawn, Jr. (D-Watertown)",Democratic,Watertown,1,D+23,23.456848285416122
State Representative,58801,Eleventh Middlesex,Amy Mah Sangiolo (D-Newton),Democratic,Newton,0.8127065914835699,D+33,32.609768305001715
State Representative,58802,Twelfth Middlesex,Greg Schwartz (D-Newton),Democratic,Newton,1,D+32,31.823267801381196
State Representative,58803,Thirteenth Middlesex,Carmine Lawrence Gentile (D-Sudbury),Democratic,Sudbury,0.7355834060442611,D+28,27.86960088148549
State Representative,58804,Fourteenth Middlesex,Simon Cataldo (D-Concord),Democratic,Concord,1,D+24,23.835172538761096
State Representative,58805,Fifteenth Middlesex,Michelle Ciccolo (D-Lexington),Democratic,Lexington,1,D+24,24.456859254907105
State Representative,58806,Sixteenth Middlesex,Rodney M. Elliott (D-Lowell),Democratic,Lowell,1,D+11,10.851563140403384
State Representative,58807,Seventeenth Middlesex,Vanna Howard (D-Lowell),Democratic,Lowell,0.7786205261910405,D+14,13.50014857274784
State Representative,58808,Eighteenth Middlesex,Tara Thorn Hong (D-Lowell),Democratic,Lowell,0.7833264548080892,D+16,16.207433520760773
State Representative,58809,Nineteenth Middlesex,David Allen Robertson (D-Wilmington),Democratic,Wilmington,0.5262055385646655,D+2,1.647545595652522
State Representative,58810,Twentieth Middlesex,"Bradley H. Jones, Jr. (R-North Reading)",Republican,North Reading,1,D+4,4.124059686428949
State Representative,58811,Twenty-First Middlesex,Kenneth I. Gordon (D-Bedford),Democratic,Bedford,1,D+17,16.575544501110095
State Representative,58812,Twenty-Second Middlesex,Marc T. Lombardo (R-Billerica),Republican,Billerica,0.6112387428781474,D+2,2.3574020739756008
State Representative,58813,Twenty-Third Middlesex,Sean Garballey (D-Arlington),Democratic,Arlington,1,D+31,30.892554878958112
State Representative,58814,Twenty-Fourth Middlesex,David M. Rogers (D-Cambridge),Democratic,Cambridge,1,D+32,32.4025364207801
State Representative,58815,Twenty-Fifth Middlesex,Marjorie C. Decker (D-Cambridge),Democratic,Cambridge,0.975131448060253,D+44,43.83274567908123
State Representative,58816,Twenty-Sixth Middlesex,Mike Connolly (D-Cambridge),Democratic,Cambridge,1,D+39,38.943071882759114
State Representative,58817,Twenty-Seventh Middlesex,Erika Uyterhoeven (D-Somerville),Democratic,Somerville,1,D+40,40.20586051555074
State Representative,58818,Twenty-Eighth Middlesex,"Joseph W. Mcgonagle, Jr (D-Everett)",Democratic,Everett,1,D+17,17.04208786819762
State Representative,58819,Twenty-Ninth Middlesex,Steven C. Owens (D-Watertown),Democratic,Watertown,1,D+35,35.341904736686026
State Representative,58820,Thirtieth Middlesex,Richard M. Haggerty (D-Woburn),Democratic,Woburn,1,D+12,12.006489684580778
State Representative,58821,Thirty-First Middlesex,Michael Seamus Day (D-Stoneham),Democratic,Stoneham,1,D+15,14.88095383836776
State Representative,58822,Thirty-Second Middlesex,Kate Lipper-Garabedian (D-Melrose),Democratic,Melrose,1,D+20,20.21137813826417
State Representative,58823,Thirty-Third Middlesex,Steven Ultrino (D-Malden),Democratic,Malden,1,D+22,21.75462237371607
State Representative,58824,Thirty-Fourth Middlesex,Christine P. Barber (D-Somerville),Democratic,Somerville,1,D+32,32.13904068076408
State Representative,58825,Thirty-Fifth Middlesex,"Paul J. Donato, Sr. (D-Medford)",Democratic,Medford,1,D+21,20.93820374884944
State Representative,58826,Thirty-Sixth Middlesex,Colleen M. Garry (D-Dracut),Democratic,Dracut,1,R+1,-1.3437822130037411
State Representative,58827,Thirty-Seventh Middlesex,Danillo A. Sena (D-Acton),Democratic,Acton,1,D+22,21.658715710360298
State Representative,58828,First Norfolk,Bruce J. Ayers (D-Quincy),Democratic,Quincy,1,D+16,16.38792074222033
State Representative,58829,Second Norfolk,Tackey Chan (D-Quincy),Democratic,Quincy,0.6957294415423555,D+15,15.082643882209112
State Representative,58830,Third Norfolk,Ronald Mariano (D-Quincy),Democratic,Quincy,1,D+11,11.011869493554126
State Representative,58831,Fourth Norfolk,James Michael Murphy (D-Weymouth),Democratic,Weymouth,1,D+8,8.200189763683719
State Representative,58832,Fifth Norfolk,Mark J. Cusack (D-Braintree),Democratic,Braintree,1,D+6,5.857836708968877
State Representative,58833,Sixth Norfolk,William C. Galvin (D-Canton),Democratic,Canton,1,D+13,12.62774305373381
State Representative,58834,Seventh Norfolk,"Richard Gerard Wells, Jr (D-Milton)",Democratic,Milton,0.6485844483226683,D+23,23.401282849064387
State Representative,58835,Eighth Norfolk,Ted Philips (D-Sharon),Democratic,Sharon,1,D+18,17.577197819863
State Representative,58836,Ninth Norfolk,Marcus S. Vaughn (R-Wrentham),Republican,Wrentham,0.5740970888411856,D+7,7.441965971801878
State Representative,58837,Tenth Norfolk,Jeffrey N. Roy (D-Franklin),Democratic,Franklin,0.6177029702970297,D+11,10.726500953100016
State Representative,58838,Eleventh Norfolk,Paul McMurtry (D-Dedham),Democratic,Dedham,0.6809930371352785,D+15,14.98012557045928
State Representative,58839,Twelfth Norfolk,John H. Rogers (D-Norwood),Democratic,Norwood,1,D+11,11.07474571348057
State Representative,58840,Thirteenth Norfolk,Joshua Tarsky (D-Needham),Democratic,Needham,0.61457489878542515,D+25,25.167533242032636
State Representative,58841,Fourteenth Norfolk,Alice Hanlon Peisch (D-Wellesley),Democratic,Wellesley,1,D+26,26.216994822713747
State Representative,58842,Fifteenth Norfolk,Tommy Vitolo (D-Brookline),Democratic,Brookline,1,D+39,38.82729550607576
State Representative,58843,First Plymouth,Michelle L. Badger (D-Plymouth),Democratic,Plymouth,0.5226658455643368,D+5,4.997793416536966
State Representative,58844,Second Plymouth,John Robert Gaskey (R-Carver),Republican,Carver,0.8901691719478343,R+2,-1.8160239506206932
State Representative,58845,Third Plymouth,Joan Meschino (D-Hull),Democratic,Hull,1,D+16,15.723339499327585
State Representative,58846,Fourth Plymouth,Patrick Joseph Kearney (D-Scituate),Democratic,Scituate,1,D+8,8.323852946244937
State Representative,58847,Fifth Plymouth,David F. Decoste (R-Norwell),Republican,Norwell,1,D+1,1.3562480036048208
State Representative,58848,Sixth Plymouth,Kenneth Sweezey (R-Pembroke),Republican,Pembroke,0.5297420225996731,D+4,3.955962584959905
