US_House,Biden_20,Trump_20,Clinton_16,Trump_16,Harris_24,Trump_24,dem_pct_24,dem_pct_20,dem_pct_16,PVI_N,PVI,PVI_N_20,PVI_20,shift_20_24,pvi_shift
1,234786.34602649006,149584.7392384107,200915.1837748344,136718.02897351,211784,160045,0.5695736481016811,0.6108324872165659,0.5950693716988884,8.278990832539012,D+8,8.600401930276059,D+9,-0.041258839114884815,-0.32141109773704635
2,254532.73420816744,132547.28571538458,209115.44927183245,123075.44910881715,231966,141308,0.6214362639776678,0.6575713576186066,0.6295038494167653,13.207655762446946,D+13,12.715143863310985,D+13,-0.03613509364093881,0.4925118991359607
3,231561.5715455121,130457.78490083011,193620.08554065783,120943.75819595324,206869,140112,0.5961969099172577,0.6396386475534594,0.6155192003019228,11.06231803372113,D+11,11.096768130172752,D+11,-0.04344173763620174,-0.03445009645162145
4,263395.4355429053,144835.33834600245,217620.7736586866,132309.4453064202,237757,158059,0.6006755664248035,0.6452121015614157,0.6218976294824843,11.553235203889578,D+12,11.69941647773457,D+12,-0.044536535136612265,-0.14618127384499147
5,297150.8744526265,93844.77376690436,254078.68577656616,92300.59257282727,265591,97371,0.7317322474529014,0.7599851195422674,0.7335273835875267,23.86286204636846,D+24,23.00995800777533,D+23,-0.028252872089366,0.8529040385931275
6,283208.00815154245,158976.28761420044,227575.28886949405,152905.3651402922,257486,167396,0.6060176707885955,0.6404750482174028,0.5981257824048016,11.583484566037871,D+12,10.343149877509516,D+10,-0.03445737742880728,1.240334688528355
7,268777.5855643495,41193.99357546709,247038.66385792184,34523.67692579077,222693,47009,0.8257002172768463,0.867103965822344,0.8773853178315818,34.00849263714911,D+34,35.45406426658674,D+35,-0.041403748545497665,-1.4455716294376302
8,276471.7243854199,130051.93314734925,227537.99581122698,123848.31178720566,242623,139502,0.634930978083088,0.6800876634421553,0.6475437172448375,15.045252156556877,D+15,14.754235245034252,D+15,-0.04515668535906736,0.2910169115226253
9,266069.19909763196,182849.25806922032,212444.2796278923,171412.9875563234,249776,200506,0.5547101594112134,0.5926893734260972,0.5534460274421191,6.591565859452075,D+7,5.714354640226505,D+6,-0.0379792140148838,0.8772112192255701
