Gov Council,PVI_N,PVI
1st,5.172586084139475,D+5
2nd,9.122692456242042,D+9
3rd,17.356150744643617,D+17
4th,16.829819962021332,D+17
5th,6.741829980542446,D+7
6th,20.170708303980422,D+20
7th,2.7777926557052357,D+3
8th,16.06264483718106,D+16
