City/Town,Type,County,Registered Voters,"Per capita income","Median household income","Median family income",Population,"Number of households"
Medfield,Town,Norfolk,8232,55786,126048,145060,12024,4117
Medford,City,Middlesex,35553,34101,70102,80839,56173,22810
Medway,Town,Norfolk,9021,40735,102002,113750,12752,4435
Melrose,City,Middlesex,18936,38006,82482,100688,26983,11213
Mendon,Town,Worcester,4240,40221,102625,115986,5839,2022
Merrimac,Town,Essex,4509,36956,75517,89847,6338,2417
Methuen,City,Essex,29836,28533,61822,80739,47255,17529
Middleborough,Town,Plymouth,15678,27746,70757,82834,23116,8468
Middlefield,Town,Hampshire,347,31670,66250,77500,521,218
Middleton,Town,Essex,5647,37993,87728,93576,8987,2898
Milford,Town,Worcester,17191,30990,66636,80545,27999,10872
Millbury,Town,Worcester,8915,31685,67448,81702,13261,5294
Millis,Town,Norfolk,5507,36657,85472,95119,7891,3030
Millville,Town,Worcester,1998,29951,77250,83125,3190,1094
Milton,Town,Norfolk,18998,44357,97421,123333,27003,9274
Monroe,Town,Franklin,69,20239,30833,52969,121,57
Monson,Town,Hampden,5568,30017,73004,88662,8560,3279
Montague,Town,Franklin,5691,25306,42140,62371,8437,3694
Monterey,Town,Berkshire,732,31182,41625,48036,961,426
Montgomery,Town,Hampden,609,39361,73438,88882,838,330
Mount Washington,Town,Berkshire,122,40488,65833,72188,167,74
Nahant,Town,Essex,2563,51210,81831,123750,3410,1540
Nantucket,Town,Nantucket,8250,53410,83347,89728,10172,4229
Natick,Town,Middlesex,23552,45968,87568,111848,33006,13406
Needham,Town,Norfolk,20778,57716,114365,146336,28886,10341
New Ashford,Town,Berkshire,177,40567,69583,88125,228,95
New Bedford,City,Bristol,51997,20447,36172,45347,95072,38761
New Braintree,Town,Worcester,718,31855,85417,90776,999,370
New Marlborough,Town,Berkshire,1120,30541,57917,65915,1509,630
New Salem,Town,Franklin,710,32207,61471,69167,990,404
Newbury,Town,Essex,5026,42462,91052,121622,6666,2594
Newburyport,City,Essex,13473,44877,76300,111836,17416,7622
Newton,City,Middlesex,55065,56163,107696,136843,85146,31168
Norfolk,Town,Norfolk,6392,36670,113266,125664,11227,3049
North Adams,City,Berkshire,8716,19916,35401,53987,13708,5868
North Andover,Town,Essex,18553,44632,91741,120966,28352,10516
North Attleborough,Town,Bristol,18856,33870,77669,90929,28712,10943
North Brookfield,Town,Worcester,3193,29981,57196,71413,4680,1862
North Reading,Town,Middlesex,10698,39232,96016,107228,14892,5439
Northampton,City,Hampshire,19549,31447,52868,72355,28549,12000
Northborough,Town,Worcester,10385,44833,102969,120560,14155,5110
Northbridge,Town,Worcester,10157,30499,68016,87060,15707,5896
Northfield,Town,Franklin,2116,31479,70606,74258,3032,1226
Norton,Town,Bristol,11654,31433,77786,89134,19031,6416
Norwell,Town,Plymouth,7620,48843,108944,115391,10506,3553
