Gov_Council,Biden_20,Trump_20,Clinton_16,Trump_16,Harris_24,Trump_24,dem_pct_24,dem_pct_20,dem_pct_16,PVI_N,PVI,PVI_N_20,PVI_20,shift_20_24,pvi_shift
Eighth,272589.9009388152,139556.6743282617,237181.04985432184,128321.73421819364,247007,149691,0.6226575379759918,0.6613906733597702,0.6489172181169085,13.46386864998539,D+13,13.807091667594651,D+14,-0.03873313538377843,-0.34322301760926166
Fifth,276879.3844586311,162942.29602167805,229245.04470543284,152426.11720114772,249353,174116,0.5888341295348656,0.6295264575322066,0.6006349642982558,10.18103838710439,D+10,9.864616221823841,D+10,-0.040692327997341016,0.31642216528054945
First,272720.8036177835,197841.10301352132,223682.94992965303,180202.54529372754,254779,219873,0.5367700968288346,0.579564133378663,0.5538276382169622,5.031921466265398,D+5,5.021997563503556,D+5,-0.042794036549828385,0.00992390276184274
Fourth,329325.66828684264,123110.01226607194,284095.8115078709,113565.0546730278,283039,133707,0.6791642871197324,0.7278949968852565,0.7144173230730573,19.67748016859413,D+20,20.4133256712795,D+20,-0.04873070976552407,-0.7358455026853719
Second,307012.89706521353,155691.67282323318,245705.39990398154,148742.48444969652,276016,166461,0.6237973951188424,0.6635181864299097,0.6229096660173034,13.634628748448218,D+14,12.737368215433243,D+13,-0.039720791311067316,0.8972605330149754
Seventh,251162.31170002357,173945.47407003344,200054.30793102106,160229.028085139,228798,185749,0.5519229423925394,0.5908203051258124,0.5552693892066323,6.386092810654754,D+6,5.705488318021801,D+6,-0.038897362733273044,0.6806044926329529
Sixth,309360.9550727659,102085.22309365172,267572.49237614014,97954.39931761516,265959,110023,0.7073716294929012,0.7518868116637085,0.7320186242283837,22.287634553879965,D+22,22.508271410742474,D+23,-0.0445151821708073,-0.22063685686250878
Third,356901.55783456983,109168.93875731801,302409.34998069145,106596.2523285924,321594,111688,0.7422279254619394,0.7657673258539014,0.739377036092562,24.667141203761688,D+25,23.597554313845503,D+24,-0.023539400391962007,1.0695868899161844
