US House,PVI_N,PVI
1st Congressional,11.563202638448233,D+12
2nd Congressional,8.652280261508217,D+9
3rd Congressional,8.500777707136752,D+9
4th Congressional,8.895402465976243,D+9
5th Congressional,18.094474981913102,D+18
6th Congressional,5.941073820844533,D+6
7th Congressional,34.32147001368035,D+34
8th Congressional,9.62245541499751,D+10
9th Congressional,4.449378181130193,D+4
