City/Town,PVI_N,PVI
Swampscott,12.879838720507298,D+13
Swansea,1.0033092009810285,D+1
Taunton,6.499019524245653,D+6
Templeton,-5.258234629226233,R+5
Tewksbury,-4.056223041548007,R+4
Tisbury,26.418623284722354,D+26
Tolland,-13.585626917421406,R+14
Topsfield,-0.41483737948028176,EVEN
Townsend,-7.3989420570116815,R+7
Truro,22.239750048086925,D+22
Tyngsborough,-4.065232614249192,R+4
Tyringham,19.164165687058333,D+19
Upton,0.4705502714782983,EVEN
Uxbridge,-4.528915959918944,R+5
W. Boylston,0.02434320043079863,EVEN
W. Bridgewater,-7.805614906714831,R+8
W. Brookfield,-3.18303941716061,R+3
W. Newbury,4.423089366662314,D+4
W. Springfield,1.0692913254571779,D+1
W. Stockbridge,28.582034847594727,D+29
W. Tisbury,30.750879653249385,D+31
Wakefield,3.5694767733371657,D+4
Wales,-5.276392273459901,R+5
Walpole,-1.2720802504298967,R+1
Waltham,15.376157285343716,D+15
Ware,0.09411022671542701,EVEN
Wareham,2.6433394561514056,D+3
Warren,-3.186371737188459,R+3
Warwick,19.142302888266748,D+19
Washington,22.731833772007505,D+23
Watertown,23.224011375819387,D+23
Wayland,19.237437260438504,D+19
Webster,-1.8965497582545676,R+2
Wellesley,15.247961804844824,D+15
Wellfleet,21.826254993540307,D+22
Wendell,31.116776663203627,D+31
Wenham,2.8067202612367392,D+3
Westborough,11.028777612105134,D+11
Westfield,-1.1510392587240736,R+1
Westford,4.884119540605047,D+5
Westhampton,9.988265060699153,D+10
Westminster,-4.588885863522524,R+5
Weston,10.240855744979127,D+10
Westport,3.733261571996982,D+4
Westwood,3.946023854506031,D+4
Weymouth,4.127738859388385,D+4
Whately,14.242752381315881,D+14
Whitman,-2.9919790999497877,R+3
Wilbraham,-4.231995763988716,R+4
Williamsburg,26.919365689967513,D+27
Williamstown,32.65601268229123,D+33
Wilmington,-2.566486875200896,R+3
Winchendon,-3.4555216083223095,R+3
Winchester,10.366385518742693,D+10
Windsor,19.3996921444023,D+19
Winthrop,6.870375743921498,D+7
Woburn,3.973958271719058,D+4
Worcester,18.97020913289519,D+19
Worthington,16.046335168696046,D+16
Wrentham,-4.643759687921789,R+5
Yarmouth,2.393556564843391,D+2
