city_town,ward,precinct,State_Rep,State_Senate,Gov_Council,US_House,Biden_20,Trump_20,Clinton_16,Trump_16,Harris_24,Trump_24
Stoughton,-,2,Eighth Norfolk,"Norfolk, Plymouth & Bristol",Second,8,1124.0947253244087,532.1176909887394,919.4752661993388,524.0778273192177,989,591
Stoughton,-,2A,Sixth Norfolk,"Norfolk, Plymouth & Bristol",Second,8,187.8700174236964,88.93286092830029,153.67195520971342,87.58915804130268,151,74
Stoughton,-,3,Eighth Norfolk,"Norfolk, Plymouth & Bristol",Second,8,1427.8182039709552,687.7881897908237,1143.06577559099,676.0382371011351,1302,708
Stoughton,-,4,Eighth Norfolk,"Norfolk, Plymouth & Bristol",Second,8,1406.121932560416,846.7092059143538,1106.115668896392,842.0293142713173,1255,848
Stoughton,-,4A,Sixth Norfolk,"Norfolk, Plymouth & Bristol",Second,8,96.21674779871104,57.93779631611564,75.68821016582352,57.617565229809045,115,56
Stoughton,-,5,Sixth Norfolk,"Norfolk, Plymouth & Bristol",Second,8,1064.018956274998,575.185898073375,893.049936240612,574.4106193758759,835,619
Stoughton,-,5A,Eighth Norfolk,"Norfolk, Plymouth & Bristol",Second,8,69.74026833071244,37.7000979494876,58.53424116068955,37.64928292962746,73,55
Stoughton,-,6,Eighth Norfolk,"Norfolk, Plymouth & Bristol",Second,8,1334.5904317386232,656.9894982497083,1125.8996499416571,613.1901983663944,1231,663
Stoughton,-,7,Sixth Norfolk,"Norfolk, Plymouth & Bristol",Second,8,1226.1391649802292,542.5852252188607,1025.856387360884,506.4030897281031,1090,582
Stoughton,-,7A,Eighth Norfolk,"Norfolk, Plymouth & Bristol",Second,8,44.82348362545649,19.83507309172722,37.501825481353066,18.51237710090943,66,31
Stoughton,-,8,Sixth Norfolk,"Norfolk, Plymouth & Bristol",Second,8,954.768658865738,431.36346453332413,799.1086056692108,397.8006265635155,797,457
Stoughton,-,8A,Eighth Norfolk,"Norfolk, Plymouth & Bristol",Second,8,43.24638869789286,19.53867241457196,36.1957433894587,18.018438666670047,47,40
Stow,-,1,Third Middlesex,Middlesex and Worcester,Third,3,1794,659,1391,686,1739,632
Stow,-,2,Third Middlesex,Middlesex and Worcester,Third,3,1757,599,1317,575,1695,536
Sturbridge,-,1,First Hampden,Worcester & Hampden,Seventh,1,1173,803,904,765,1066,900
Sturbridge,-,2,First Hampden,Worcester & Hampden,Seventh,1,1212,887,872,861,1107,907
Sturbridge,-,3,First Hampden,Worcester & Hampden,Seventh,1,1032,825,758,789,964,902
