office,district,PVI,PVI_N
State Representative,Thirty-Third Middlesex,D+22,21.75462237371607
State Representative,Twelfth Bristol,R+4,-3.906338726189023
State Representative,Twelfth Essex,D+5,5.101521832852751
State Representative,Twelfth Hampden,D+6,6.365518143554672
State Representative,Twelfth Middlesex,D+32,31.823267801381196
State Representative,Twelfth Norfolk,D+11,11.07474571348057
State Representative,Twelfth Plymouth,D+2,1.958533053062572
State Representative,Twelfth Suffolk,D+38,38.32711596561465
State Representative,Twelfth Worcester,D+8,7.6983773553922275
State Representative,Twentieth Middlesex,D+4,4.124059686428949
State Representative,Twenty-Eighth Middlesex,D+17,17.04208786819762
State Representative,Twenty-Fifth Middlesex,D+44,43.83274567908123
State Representative,Twenty-First Middlesex,D+17,16.575544501110095
State Representative,Twenty-Fourth Middlesex,D+32,32.4025364207801
State Representative,Twenty-Ninth Middlesex,D+35,35.341904736686026
State Representative,Twenty-Second Middlesex,D+2,2.3574020739756008
State Representative,Twenty-Seventh Middlesex,D+40,40.20586051555074
State Representative,Twenty-Sixth Middlesex,D+39,38.943071882759114
State Representative,Twenty-Third Middlesex,D+31,30.892554878958112
State Senate,"Berkshire, Hampden, Franklin & Hampshire",D+18,18.186788229768613
State Senate,Bristol and Norfolk,D+9,9.47839616473235
State Senate,Cape and Islands,D+14,14.409380508630342
State Senate,Fifth Middlesex,D+17,17.355988873109883
State Senate,First Bristol and Plymouth,R+1,-1.4599731568909535
State Senate,First Essex,D+10,9.519211043685772
State Senate,First Essex and Middlesex,D+12,11.9293645644304
State Senate,First Middlesex,D+7,7.266316629349056
State Senate,First Plymouth & Norfolk,D+10,10.275992493547248
State Senate,First Suffolk,D+27,27.212056215154213
State Senate,First Worcester,D+17,16.51094380074456
State Senate,Fourth Middlesex,D+17,17.20513975219945
State Senate,Hampden,D+18,17.828746548560225
State Senate,Hampden and Hampshire,D+6,5.5864423743640534
State Senate,"Hampden, Hampshire & Worcester",D+5,4.932168934103808
State Senate,"Hampshire, Franklin and Worcester",D+23,22.661200817202452
State Senate,Middlesex and Norfolk,D+21,21.1605689270696
State Senate,Middlesex and Suffolk,D+31,30.82359925048955
State Senate,Middlesex and Worcester,D+21,21.443548298873104
State Senate,Norfolk & Middlesex,D+32,32.4504218278043
State Senate,Norfolk and Plymouth,D+9,9.082035835637392
State Senate,Norfolk and Suffolk,D+19,18.86430200238145
State Senate,"Norfolk, Plymouth & Bristol",D+12,11.658550094168165
State Senate,"Norfolk, Worcester & Middlesex",D+13,12.964356385234389
State Senate,Plymouth and Barnstable,D+6,6.0986180739747375
State Senate,Second Bristol and Plymouth,D+4,3.935096690163764
State Senate,Second Essex,D+13,12.9289467569208
State Senate,Second Essex and Middlesex,D+8,8.143477036493207
State Senate,Second Middlesex,D+33,32.50176308863265
State Senate,Second Plymouth & Norfolk,D+14,13.552147878024511
State Senate,Second Suffolk,D+40,40.2087692868763
State Senate,Second Worcester,D+12,11.567678489701482
State Senate,Suffolk and Middlesex,D+33,32.56648583953291
State Senate,Third Bristol & Plymouth,R+1,-0.7007936319190278
State Senate,Third Essex,D+12,11.911769508162951
State Senate,Third Middlesex,D+22,22.155391589982187
State Senate,Third Suffolk,D+20,20.071702724081295
State Senate,Worcester & Hampden,R+1,-1.3099412039348055
State Senate,Worcester & Hampshire,D+1,1.0676722896603486
State Senate,Worcester and Middlesex,D+9,8.846797761372272
Governor's Council,Eighth,D+13,13.46386864998539
Governor's Council,Fifth,D+10,10.18103838710439
Governor's Council,First,D+5,5.031921466265398
Governor's Council,Fourth,D+20,19.67748016859413
Governor's Council,Second,D+14,13.634628748448218
Governor's Council,Seventh,D+6,6.386092810654754
Governor's Council,Sixth,D+22,22.287634553879965
Governor's Council,Third,D+25,24.667141203761688
U.S. House,1,D+8,8.278990832539012
U.S. House,2,D+13,13.207655762446946
U.S. House,3,D+11,11.06231803372113
U.S. House,4,D+12,11.553235203889578
U.S. House,5,D+24,23.86286204636846
U.S. House,6,D+12,11.583484566037871
U.S. House,7,D+34,34.00849263714911
U.S. House,8,D+15,15.045252156556876
U.S. House,9,D+7,6.591565859452075
