County,PVI_N,PVI
Barnstable,4.032485716681444,D+4
Berkshire,23.31996700805933,D+23
Bristol,6.23529313333121,D+6
Dukes,24.124177521560785,D+24
Essex,8.59917667088469,D+9
Franklin,20.80748729254941,D+21
Hampden,9.298499657379178,D+9
Hampshire,20.726842079662266,D+21
Middlesex,15.535560590530773,D+16
Nantucket,14.628150463825818,D+15
Norfolk,9.755949558277754,D+10
Plymouth,1.5316445259471512,D+2
Suffolk,29.429000715583477,D+29
Worcester,3.7530376685440014,D+4
