city_town,Ward,Pct,Biden_20,Trump_20,Clinton_16,Trump_16,PVI_N,PVI
Abington,-,1,1037,764,818,717,3.859804482156004,D+4
Abington,-,2,944.6119235095613,824.5674915635545,727.1543869516311,772.4170416197975,-0.6018218820145527,R+1
Abington,-,3,1020.755133346626,903.0044147909605,825.1758806068974,860.9592125608045,-0.6103956080202755,R+1
Abington,-,4,1065.6329431438128,862.428093645485,836.6697324414715,837.623745819398,1.0614922844565333,D+1
Abington,-,5,1141,882,908,829,2.7489697456898554,D+3
Acton,-,1,1330.8850037148968,335.1951228932847,1100.6254603250702,331.28414495970134,26.741006878492623,D+27
Acton,-,2,1626.4889341134572,375.1472907657085,1318.5448995166623,408.3235817858051,27.24128410338714,D+27
Acton,-,3,1834,388,1580,435,28.8301680544089,D+29
Acton,-,4,1738.1870681145115,352.5528134254689,1419.5335636722607,350.857847976308,30.03655403948995,D+30
Acton,-,5,1715.2379318854887,356.20432943167395,1423.537864899168,349.24572345226346,29.90338859711221,D+30
Acton,-,6,1493.88892489435,334.9512480750683,1230.2607287916635,345.14015875692166,28.276520142594574,D+28
Acton,-,7,1366.312137277296,328.94919540879573,1125.4974827951753,335.14854306900054,27.211284046002604,D+27
Acushnet,-,1,864.2946679292775,1016.6208994871668,787.4536347201554,877.9102578923419,-5.1687754389459055,R+5
Acushnet,-,2,879.5017360897601,1079.3367948544515,748.947740213742,947.5046019701647,-7.195235293037028,R+7
Acushnet,-,3,917,1190,862,1005,-6.979732242767023,R+7
Adams,-,1,523.7103620474406,251.4207240948814,436.2596754057428,253.40823970037454,13.79024547535873,D+14
Adams,-,2,591.8232502965599,300.6085409252669,490.08659549228946,277.94780545670227,13.411282207113128,D+13
Adams,-,3,583.1767497034401,314.39145907473306,460.91340450771054,260.05219454329773,12.76268217999773,D+13
Adams,-,4,512,269,446,233,13.870727250790416,D+14
Adams,-,5,683.2896379525592,292.5792759051186,579.7403245942572,260.5917602996255,17.796699862080146,D+18
Agawam,-,1,825,922,631,827,-6.3166939446875405,R+6
Agawam,-,2,1034.542905471655,1115.1234479102513,844.2617828423207,1058.6413153737801,-5.384884702432835,R+5
Agawam,-,3,954.2372442372442,971.977466977467,718.9458689458689,859.933954933955,-4.009962570477859,R+4
Agawam,-,4,857.2975338106603,844.8289578361178,707.0779634049323,732.204189870061,-1.9471756698623832,R+2
Agawam,-,5,1121.7024661893397,1065.1710421638822,853.9220365950677,989.795810129939,-2.7299630738779057,R+3
Agawam,-,6,902.439391650453,923.468957835604,757.9541343866005,854.9919497302059,-3.46237844050537,R+3
Agawam,-,7,1042.4412709348298,1213.7520262887522,860.0207055924985,1122.3831092705113,-6.8614740283856,R+7
Agawam,-,8,1056.3391877058177,1016.6781009879254,834.8175082327114,976.0496706915478,-3.053307618449941,R+3
Alford,-,1,271,50,226,52,31.22590826023538,D+31
Amesbury,-,1,1234.4852379298368,656.6050712052796,949.6748871135811,633.1563042723168,11.127330922658041,D+11
Amesbury,-,2,1165,502,901,503,15.528792313707761,D+16
Amesbury,-,3,1236.4930555555557,533.6736111111111,999.1319444444445,522.4027777777778,16.171293989508996,D+16
Amesbury,-,4,969.3427701921687,488.3133849877185,791.2988097818235,500.638509608438,12.287084879102894,D+12
Amesbury,-,5,1127.1641742522756,707.0130039011704,719.5692457737321,651.9587126137841,5.862002061242477,D+6
Amesbury,-,6,1053.5147620701632,438.3949287947204,813.3251128864189,419.8436957276832,16.76020075417458,D+17
Amherst,-,1A,965.0466795543923,67.63702887540009,990.618794467294,104.08975995948057,40.18211566013783,D+40
Amherst,-,1B,550.2640274727387,49.411392459515056,940.7042928036233,125.57667230187964,37.75052863217301,D+38
Amherst,-,2A,1128.309405983888,103.4205262900576,1306.6820578732006,128.01344190003647,39.57472990870653,D+40
Amherst,-,2B,1618.1938797741452,138.36909794297955,1534.674314175225,142.57582804301646,40.07257031608893,D+40
Amherst,-,3A,571.1497754347123,40.66831777746288,1039.2397877049739,171.43548454651665,36.616177813216545,D+37
Amherst,-,3B,1534.8520310037431,148.7143850965327,1438.6699172576832,131.13827509357762,39.652369537933566,D+40
Amherst,-,4A,843.311294009738,54.65575190605633,1169.564193376641,88.47237303354203,41.615704240995214,D+42
Amherst,-,4B,392.20011764837557,23.874057002126793,900.1667413891884,116.20350613699625,38.47537105526815,D+38
Amherst,-,5A,1048.9897985003208,92.03825825370645,1113.4403411327576,91.01303687716648,40.44986578482235,D+40
Amherst,-,5B,2065.682990617946,154.21118439616254,1923.239559819413,149.4816221077878,41.17951556295847,D+41
Andover,-,1,1098.8756080611536,384.8485059068798,888.2981236970119,349.3488533703961,21.275338405447265,D+21
Andover,-,10,1453.1124273411904,686.9771396699468,1110.4063643768611,702.123207064124,13.110494411101515,D+13
Andover,-,2,1473.269169288823,721.8625419024256,1127.3590637239388,740.4155390219172,12.263351178236947,D+12
Andover,-,3,1708.456975534096,689.2452857537892,1467.9558471716173,678.2158618352901,18.1596789532248,D+18
Andover,-,4,1348.0390229144116,687.2290745564904,995.3396215812462,694.0823750171681,11.169016974337442,D+11
Andover,-,5,1434.8831734960766,757.4810374891019,1027.134481255449,619.3857890148213,12.387962798414875,D+12
Andover,-,6,1438.6161799457486,728.5835427401687,1057.8374171803825,716.5499204261456,11.590543021178467,D+12
Andover,-,7,1210.5644526122342,573.8829088999737,946.8101864006301,529.4407981097401,14.417251857588997,D+14
Andover,-,8,1633.8651841556637,689.1598332175122,1303.7588603196664,695.1304146397962,16.224726200309526,D+16
Andover,-,9,1351.3178066506025,619.7301298637115,1035.1000342931968,627.3072415006013,13.933310693489865,D+14
Aquinnah,-,1,311,34,232,34,37.12499265894682,D+37
